CPU Name,Core Count,Performance Core Clock,Boost Clock,TDP,Integrated Graphics,Sockets Supported,Raiting,Raiting Count,Price
 Intel Core i3-6100  ,2,3.7 GHz,,51 W,Intel HD Graphics 530,Yes,5, 161,$100.00
 Intel Core i5-10500  ,6,3.1 GHz,4.5 GHz,65 W,Intel UHD Graphics 630,Yes,0, 0,$177.84
 Intel Core i7-2600K  ,4,3.4 GHz,,95 W,Intel HD Graphics 3000,Yes,5, 44,$70.00
 Intel Xeon E5-2630 V2  ,6,2.6 GHz,3.1 GHz,80 W,None,Yes,0, 0,
 Intel Xeon E5-2680 V4  ,14,2.4 GHz,3.3 GHz,120 W,None,Yes,0, 0,$1975.00
 Intel Core i5-3570K  ,4,3.4 GHz,,77 W,Intel HD Graphics 4000,No,5, 461,$120.23
 Intel 300  ,2,3.9 GHz,,46 W,Intel UHD Graphics 710,Yes,0, 0,$96.99
 Intel Core i3-10105  ,4,3.7 GHz,4.4 GHz,65 W,Intel UHD Graphics 630,Yes,5, 4,$96.00
 Intel Core i5-2400  ,4,3.1 GHz,,95 W,Intel HD Graphics 2000,No,5, 17,
 AMD Ryzen 9 PRO 7945  ,12,3.7 GHz,5.4 GHz,65 W,Radeon,Yes,0, 0,
 Intel Core i5-7600  ,4,3.5 GHz,4.1 GHz,65 W,Intel HD Graphics 630,No,5, 21,$89.00
 AMD Ryzen 7 1800X  ,8,3.6 GHz,4 GHz,95 W,None,Yes,5, 51,$235.00
 Intel Xeon E5-2683 V4  ,16,2.1 GHz,3 GHz,120 W,None,Yes,0, 0,$1998.95
 Intel Core i7-4790K  ,4,4 GHz,4.4 GHz,88 W,Intel HD Graphics 4600,Yes,4, 6,$185.00
 Intel Core i7-6900K  ,8,3.2 GHz,3.7 GHz,140 W,None,Yes,5, 6,$145.00
 Intel Core i7-5820K  ,6,3.3 GHz,3.6 GHz,140 W,None,Yes,5, 120,
 AMD Threadripper 1920X  ,12,3.5 GHz,4 GHz,180 W,None,Yes,5, 8,$270.00
 Intel Core 2 Duo E8400  ,2,3 GHz,,65 W,None,No,5, 4,$27.55
 Intel Celeron G5925  ,2,3.6 GHz,,58 W,Intel UHD Graphics 610,No,0, 0,$45.99
 Intel Celeron 420  ,1,1.6 GHz,,35 W,None,No,0, 0,$39.95
 Intel Core i5-6600  ,4,3.3 GHz,3.9 GHz,65 W,Intel HD Graphics 530,No,5, 52,
 AMD Threadripper 1950X  ,16,3.4 GHz,4 GHz,180 W,None,Yes,5, 18,$788.88
 Intel Core i3-7100  ,2,3.9 GHz,,51 W,Intel HD Graphics 630,Yes,4, 24,$70.00
 Intel Core i5-9400F  ,6,2.9 GHz,4.1 GHz,65 W,None,No,5, 1,
 AMD Athlon X4 845  ,4,3.5 GHz,3.8 GHz,65 W,None,No,4, 4,$50.00
 Intel Core i3-10305  ,4,3.8 GHz,4.5 GHz,65 W,Intel UHD Graphics 630,Yes,0, 0,$169.99
 Intel Core i9-9900  ,8,3.1 GHz,5 GHz,65 W,Intel UHD Graphics 630,Yes,5, 3,$315.00
 Intel Core i5-2500K  ,4,3.3 GHz,,95 W,Intel HD Graphics 3000,No,5, 97,$251.53
 Intel Pentium Gold G6400  ,2,4 GHz,,58 W,Intel UHD Graphics 610,Yes,5, 2,$64.98
 Intel Core i3-4150  ,2,3.5 GHz,,54 W,Intel HD Graphics 4400,Yes,5, 35,$48.00
 Intel Core i5-9500  ,6,3 GHz,4.4 GHz,65 W,Intel UHD Graphics 630,No,5, 1,$160.74
 Intel Core i9-10900X  ,10,3.7 GHz,4.7 GHz,165 W,None,Yes,5, 1,$615.00
 Intel Core i7-4790  ,4,3.6 GHz,4 GHz,84 W,Intel HD Graphics 4600,Yes,5, 41,
 Intel Core i9-9900K  ,8,3.6 GHz,5 GHz,95 W,Intel UHD Graphics 630,Yes,5, 2,$954.81
 Intel Xeon E5-2650 V4  ,12,2.2 GHz,2.9 GHz,105 W,None,Yes,0, 0,$79.00
 Intel Core i9-10900  ,10,2.8 GHz,5.2 GHz,65 W,Intel UHD Graphics 630,Yes,5, 3,$291.97
 AMD Athlon 200GE  ,2,3.2 GHz,,35 W,Radeon Vega 3,Yes,5, 15,$89.99
 Intel Core i5-3570  ,4,3.4 GHz,,77 W,Intel HD Graphics 2500,No,5, 22,
 Intel Core i3-12100T  ,4,2.2 GHz,4.1 GHz,35 W,Intel UHD Graphics 730,Yes,0, 0,
 Intel Core i9-12900F  ,16,2.4 GHz,5.1 GHz,65 W,None,Yes,0, 0,$432.99
 Intel Core i5-6500  ,4,3.2 GHz,3.6 GHz,65 W,Intel HD Graphics 530,No,0, 0,
 Intel Core i3-7350K  ,2,4.2 GHz,,60 W,Intel HD Graphics 630,Yes,5, 2,$40.00
 AMD Ryzen 9 3900X  ,12,3.8 GHz,4.6 GHz,105 W,None,Yes,5, 1,
 Intel Core i9-11900  ,8,2.5 GHz,5.2 GHz,65 W,Intel UHD Graphics 750,Yes,5, 2,$270.00
 Intel Core i5-8400  ,6,2.8 GHz,4 GHz,65 W,Intel UHD Graphics 630,No,5, 1,$249.95
 Intel Core i7-4930K  ,6,3.4 GHz,3.9 GHz,130 W,None,Yes,5, 45,$105.00
 Intel Core i9-11900F  ,8,2.5 GHz,5.2 GHz,65 W,None,Yes,0, 0,$240.00
 AMD Threadripper 2950X  ,16,3.5 GHz,4.4 GHz,180 W,None,Yes,5, 6,$1075.00
 Intel Xeon E5-2640 V3  ,8,2.6 GHz,3.4 GHz,90 W,None,Yes,4, 1,$59.85
 Intel Core i7-7700  ,4,3.6 GHz,4.2 GHz,65 W,Intel HD Graphics 630,Yes,4, 1,$329.95
 Intel Core i9-7960X  ,16,2.8 GHz,4.4 GHz,165 W,None,Yes,0, 0,$357.22
 Intel Core i7-2700K  ,4,3.5 GHz,,95 W,Intel HD Graphics 3000,Yes,5, 7,$82.00
 Intel Core i9-7900X  ,10,3.3 GHz,4.5 GHz,140 W,None,Yes,5, 8,$400.00
 Intel Pentium Gold G7400  ,2,3.7 GHz,,46 W,Intel UHD Graphics 710,Yes,0, 0,$98.40
 Intel Core i9-12900  ,16,2.4 GHz,5.1 GHz,65 W,Intel UHD Graphics 770,Yes,0, 0,$458.00
 Intel Core i7-8086K  ,6,4 GHz,5 GHz,95 W,Intel UHD Graphics 630,Yes,5, 18,$456.00
 Intel Core i5-11500  ,6,2.7 GHz,4.6 GHz,65 W,Intel UHD Graphics 750,Yes,5, 9,$169.21
 AMD Threadripper 2920X  ,12,3.5 GHz,4.3 GHz,180 W,None,Yes,5, 1,$530.00
 Intel Celeron E3500  ,2,2.7 GHz,,65 W,None,No,0, 0,$14.99
 Intel Core i7-8700  ,6,3.2 GHz,4.6 GHz,65 W,Intel UHD Graphics 630,Yes,5, 2,$389.45
 AMD FX-8320  ,8,3.5 GHz,,125 W,None,No,5, 248,$175.00
 Intel Celeron G4900  ,2,3.1 GHz,,65 W,Intel UHD Graphics 610,No,0, 0,$48.59
 Intel Core i3-9100  ,4,3.6 GHz,4.2 GHz,65 W,Intel UHD Graphics 630,No,5, 7,$145.00
 Intel Pentium G640  ,2,2.8 GHz,,65 W,Intel HD Graphics,No,4, 1,$30.00
 Intel Core i7-9700F  ,8,3 GHz,4.7 GHz,65 W,None,No,0, 0,$199.00
 Intel Core i9-13900T  ,24,1.1 GHz,5.3 GHz,35 W,Intel UHD Graphics 770,Yes,5, 1,
 Intel Core i5-8600  ,6,3.1 GHz,4.3 GHz,65 W,Intel UHD Graphics 630,No,5, 4,$175.00
 AMD Ryzen 3 1300X  ,4,3.5 GHz,3.7 GHz,65 W,None,No,5, 24,
 Intel Core i5-7400T  ,4,2.4 GHz,3 GHz,35 W,Intel HD Graphics 630,No,0, 0,$63.50
 Intel Core i7-6850K  ,6,3.6 GHz,3.8 GHz,140 W,None,Yes,5, 24,$120.00
 AMD Ryzen 5 3600  ,6,3.6 GHz,4.2 GHz,65 W,None,Yes,5, 1,
 Intel Xeon E5-2698 V3  ,16,2.3 GHz,3.6 GHz,135 W,None,Yes,0, 0,
 AMD Ryzen 5 3600X  ,6,3.8 GHz,4.4 GHz,95 W,None,Yes,0, 0,
 Intel Pentium E5700  ,2,3 GHz,,65 W,None,No,0, 0,$19.98
 Intel Core i7-7700K  ,4,4.2 GHz,4.5 GHz,91 W,Intel HD Graphics 630,Yes,0, 0,
 Intel Core i5-11600  ,6,2.8 GHz,4.8 GHz,65 W,Intel UHD Graphics 750,Yes,5, 2,$150.00
 Intel Core i3-2100  ,2,3.1 GHz,,65 W,Intel HD Graphics 2000,Yes,4, 12,$49.00
 AMD A4-6300  ,2,3.7 GHz,3.9 GHz,65 W,Radeon HD 8370D,No,4, 5,$46.79
 Intel Core i7-7820X  ,8,3.6 GHz,4.5 GHz,140 W,None,Yes,5, 10,$375.00
 Intel Core i7-7800X  ,6,3.5 GHz,4 GHz,140 W,None,Yes,5, 12,$499.99
 AMD Athlon X2 340  ,2,3.2 GHz,,65 W,None,No,0, 0,$120.00
 Intel Core i9-9900K ,8,3.6 GHz,5 GHz,95 W,Intel UHD Graphics 630,Yes,5, 8,$468.00
 Intel Core i5-4440  ,4,3.1 GHz,3.3 GHz,84 W,Intel HD Graphics 4600,No,5, 39,$100.00
 AMD FX-9590  ,8,4.7 GHz,5 GHz,220 W,None,No,5, 29,$302.58
 AMD Ryzen 3 1200 ,4,3.1 GHz,3.4 GHz,65 W,None,No,5, 4,$105.00
 Intel Xeon E5-2667 V3  ,8,3.2 GHz,3.6 GHz,135 W,None,Yes,5, 1,$1038.27
 AMD Ryzen 3 3200G  ,4,3.6 GHz,4 GHz,65 W,Radeon Vega 8,No,5, 1,
 Intel Core i5-7500T  ,4,2.7 GHz,3.3 GHz,35 W,Intel HD Graphics 630,No,0, 0,$69.00
 Intel Core i7-4770S  ,4,3.1 GHz,,65 W,Intel HD Graphics 4600,Yes,5, 5,$117.85
 AMD Ryzen 5 2600  ,6,3.4 GHz,3.9 GHz,65 W,None,Yes,0, 0,
 Intel Core i9-10920X  ,12,3.5 GHz,4.8 GHz,165 W,None,Yes,5, 1,$799.00
 Intel Core i5-2500  ,4,3.3 GHz,,95 W,Intel HD Graphics 2000,No,5, 8,
 AMD FX-6350  ,6,3.9 GHz,,125 W,None,No,5, 49,$100.00
 Intel Core i7-5930K  ,6,3.5 GHz,3.7 GHz,140 W,None,Yes,5, 37,
 Intel Xeon E5-2670 V3  ,12,2.3 GHz,3.1 GHz,120 W,None,Yes,5, 1,
 Intel Core i5-8500T  ,6,2.1 GHz,3.5 GHz,35 W,Intel UHD Graphics 630,No,5, 2,
 AMD Ryzen 7 3800X  ,8,3.9 GHz,4.5 GHz,105 W,None,Yes,5, 1,
 Intel Core i9-7920X  ,12,2.9 GHz,4.4 GHz,140 W,None,Yes,0, 0,$586.20
 Intel Core i3-4170  ,2,3.7 GHz,,54 W,Intel HD Graphics 4400,Yes,5, 22,
 AMD Threadripper 2970WX  ,24,3 GHz,4.2 GHz,250 W,None,Yes,0, 0,$1150.00
 Intel Core i7-9700  ,8,3 GHz,4.7 GHz,65 W,Intel HD Graphics 630,No,0, 0,$299.80
 Intel Core i5-13600  ,14,2.7 GHz,5 GHz,65 W,Intel UHD Graphics 770,Yes,0, 0,
 Intel Core i7-6700  ,4,3.4 GHz,4 GHz,65 W,Intel HD Graphics 530,Yes,0, 0,$394.98
 AMD FX-8300  ,8,3.3 GHz,,95 W,None,No,4, 7,$120.00
 AMD Ryzen 5 2600X  ,6,3.6 GHz,4.2 GHz,95 W,None,Yes,5, 2,
 Intel Core i7-6700K  ,4,4 GHz,4.2 GHz,91 W,Intel HD Graphics 530,Yes,5, 2,
 Intel Core i5-9600  ,6,3.1 GHz,4.6 GHz,65 W,Intel UHD Graphics 630,No,0, 0,$195.00
 Intel Celeron G5905  ,2,3.5 GHz,,58 W,Intel UHD Graphics 610,No,0, 0,
 Intel Pentium G4560  ,2,3.5 GHz,,54 W,Intel HD Graphics 610,Yes,5, 91,
 AMD FX-6100  ,6,3.3 GHz,,95 W,None,No,5, 10,$72.80
 Intel Core i7-5960X  ,8,3 GHz,3.5 GHz,140 W,None,Yes,5, 16,
 Intel Xeon E5-2699 V3  ,18,2.3 GHz,3.6 GHz,145 W,None,Yes,0, 0,
 Intel Core i5-13500T  ,14,1.6 GHz,4.6 GHz,35 W,Intel UHD Graphics 770,Yes,0, 0,
 Intel Core i7-9700K  ,8,3.6 GHz,4.9 GHz,95 W,Intel UHD Graphics 630,No,0, 0,
 Intel Core i3-530  ,2,2.93 GHz,,73 W,Intel HD Graphics,Yes,3, 1,$45.00
 Intel Core i5-4670  ,4,3.4 GHz,,84 W,Intel HD Graphics 4600,No,5, 42,$63.50
 AMD Athlon II X4 640  ,4,3 GHz,,95 W,None,No,5, 1,$57.01
 Intel Pentium Gold G5400  ,2,3.7 GHz,,58 W,Intel UHD Graphics 610,Yes,4, 1,$72.95
 Intel Celeron G3900  ,2,2.8 GHz,,51 W,Intel HD Graphics 510,No,0, 0,$39.95
 Intel Pentium G3258  ,2,3.2 GHz,,53 W,Intel HD Graphics,No,5, 155,$51.36
 Intel Core i3-2120  ,2,3.3 GHz,,65 W,Intel HD Graphics 2000,Yes,5, 16,$170.00
 Intel Core 2 Duo E8500  ,2,3.16 GHz,,65 W,None,No,0, 0,
 Intel Core i7-4820K  ,4,3.7 GHz,3.9 GHz,130 W,None,Yes,5, 26,$120.00
 AMD 5350  ,4,2.05 GHz,,25 W,Radeon HD 8400,No,5, 25,$120.00
 Intel Core i3-3220  ,2,3.3 GHz,,55 W,Intel HD Graphics 2500,Yes,5, 34,
 Intel Core i5-10600  ,6,3.3 GHz,4.8 GHz,65 W,Intel UHD Graphics 630,Yes,5, 3,$299.95
 AMD Ryzen 9 3900  ,12,3.1 GHz,,65 W,None,Yes,0, 0,
 Intel Core i9-10940X  ,14,3.3 GHz,4.8 GHz,165 W,None,Yes,0, 0,$819.98
 Intel Core i7-7740X  ,4,4.3 GHz,4.5 GHz,112 W,None,Yes,5, 1,$250.00
 Intel Core 2 Quad Q9550  ,4,2.83 GHz,,95 W,None,No,5, 1,$52.55
 AMD A6-3670K  ,4,2.7 GHz,,100 W,Radeon HD 6530D,No,0, 0,
 Intel Celeron G5920  ,2,3.5 GHz,,58 W,Intel UHD Graphics 610,No,0, 0,$42.99
 Intel Pentium G2020  ,2,2.9 GHz,,55 W,Intel HD Graphics,No,5, 3,$34.99
 Intel Core i5-3450  ,4,3.1 GHz,,77 W,Intel HD Graphics 2500,No,5, 7,$68.31
 Intel Xeon E5-2630  ,6,2.3 GHz,,95 W,None,Yes,0, 0,$25.75
 Intel Celeron G4900T  ,2,1.8 GHz,,35 W,Intel UHD Graphics 610,No,0, 0,$59.95
 AMD Ryzen 5 3400G  ,4,3.7 GHz,4.2 GHz,65 W,Radeon Vega 11,Yes,0, 0,
 Intel Core i9-7980XE  ,18,2.6 GHz,4.4 GHz,165 W,None,Yes,4, 1,$1106.20
 Intel Core i7-980X Extreme Edition  ,6,3.33 GHz,,130 W,None,Yes,5, 3,$153.64
 Intel Core i7-3930K  ,6,3.2 GHz,,130 W,None,Yes,5, 41,$250.00
 AMD FX-6120  ,6,3.5 GHz,4.1 GHz,95 W,None,No,0, 0,$58.53
 Intel Core i7-13700T  ,16,1.4 GHz,4.9 GHz,35 W,None,Yes,0, 0,
 AMD FX-4300  ,4,3.8 GHz,,95 W,None,No,4, 35,
 AMD FX-8370  ,8,4 GHz,4.3 GHz,125 W,None,No,5, 17,
 AMD Athlon X4 750K  ,4,3.4 GHz,,100 W,None,No,5, 18,
 Intel Xeon E5-2683 V4  ,16,2.1 GHz,3 GHz,120 W,None,Yes,0, 0,$189.95
 Intel Core i9-9980XE  ,18,3 GHz,4.4 GHz,165 W,None,Yes,0, 0,$1504.51
 Intel Core i7-7800X  ,6,3.5 GHz,4 GHz,140 W,None,Yes,0, 0,$277.00
 Intel Core i7-7700T  ,4,2.9 GHz,3.8 GHz,35 W,Intel HD Graphics 630,Yes,4, 1,$489.95
 AMD Ryzen 7 1700X  ,8,3.4 GHz,3.8 GHz,95 W,None,Yes,4, 1,
 AMD FX-4350  ,4,4.2 GHz,,125 W,None,No,5, 16,$122.96
 Intel Core i5-6402P  ,4,2.8 GHz,3.4 GHz,65 W,Intel HD Graphics 510,No,4, 2,$80.00
 Intel Pentium E2220  ,2,2.4 GHz,,65 W,None,No,0, 0,$19.98
 Intel Core i7-920  ,4,2.66 GHz,,130 W,None,Yes,5, 6,$90.00
 Intel Core i5-9600K  ,6,3.7 GHz,4.6 GHz,95 W,Intel UHD Graphics 630,No,0, 0,
 Intel Core i7-4770K  ,4,3.5 GHz,3.9 GHz,84 W,Intel HD Graphics 4600,Yes,5, 4,$237.43
 Intel Xeon E3-1231 V3  ,4,3.4 GHz,3.8 GHz,80 W,None,Yes,5, 34,
 Intel Celeron G4930  ,2,3.2 GHz,,54 W,Intel UHD Graphics 610,No,0, 0,$63.20
 Intel Core i7-860  ,4,2.8 GHz,,95 W,None,Yes,4, 6,$339.00
 Intel Xeon E5-2650 V2  ,8,2.6 GHz,3.4 GHz,95 W,None,Yes,5, 2,
 Intel Core i3-8350K  ,4,4 GHz,,91 W,Intel UHD Graphics 630,No,5, 14,
 Intel Core i9-9980XE  ,18,3 GHz,4.4 GHz,165 W,None,Yes,0, 0,$1067.00
 AMD FX-9370  ,8,4.4 GHz,4.7 GHz,220 W,None,No,4, 9,$187.00
 Intel Core i5-4670S  ,4,3.1 GHz,3.8 GHz,65 W,Intel HD Graphics 4600,No,5, 1,$549.00
 Intel Xeon E5-2697 V2  ,12,2.7 GHz,3.5 GHz,130 W,None,Yes,0, 0,
 Intel Core i5-4430  ,4,3 GHz,,84 W,Intel HD Graphics 4600,No,5, 29,
 Intel Core i3-10300  ,4,3.7 GHz,4.4 GHz,65 W,Intel UHD Graphics 630,Yes,5, 1,$120.66
 Intel Core i5-8400T  ,6,1.7 GHz,3.3 GHz,35 W,Intel UHD Graphics 630,No,0, 0,$139.00
 Intel Core i5-750  ,4,2.66 GHz,,95 W,None,No,5, 5,$75.00
 Intel Core i7-3820  ,4,3.6 GHz,,130 W,None,Yes,5, 24,
 Intel Core i5-3330  ,4,3 GHz,,77 W,Intel HD Graphics 2500,No,5, 6,
 Intel Core i3-550  ,2,3.2 GHz,,73 W,Intel HD Graphics,Yes,5, 1,$115.27
 Intel Core 2 Quad Q9300  ,4,2.5 GHz,,95 W,None,No,4, 1,$42.60
 AMD A10-9700E  ,4,3 GHz,3.5 GHz,35 W,Radeon R7 (on-die),No,0, 0,
 Intel Celeron G3930T  ,2,2.7 GHz,,35 W,Intel HD Graphics 610,No,0, 0,$39.00
 Intel Core i7-6700T  ,4,2.8 GHz,3.6 GHz,35 W,Intel HD Graphics 530,Yes,0, 0,
 Intel Core i3-7100  ,2,3.9 GHz,,51 W,Intel HD Graphics 630,Yes,0, 0,$72.80
 Intel Xeon E5-2687W V4  ,12,3 GHz,3.5 GHz,160 W,None,Yes,0, 0,$1732.69
 Intel Core i3-13100T  ,4,2.5 GHz,4.2 GHz,35 W,Intel UHD Graphics 730,Yes,0, 0,
 AMD Ryzen 7 PRO 7745  ,8,3.8 GHz,5.3 GHz,65 W,Radeon,Yes,0, 0,
 AMD A6-9500  ,2,3.5 GHz,3.8 GHz,65 W,Radeon R5 (on die),No,4, 3,$89.95
 AMD FX-6300  ,6,3.5 GHz,,95 W,None,No,0, 0,$78.51
 Intel Core 2 Duo E7600  ,2,3.06 GHz,,65 W,None,No,0, 0,$198.03
 Intel Xeon E5-2630 V3  ,8,2.4 GHz,3.2 GHz,85 W,None,Yes,5, 1,$175.44
 AMD A10-9700  ,4,3.5 GHz,3.8 GHz,65 W,Radeon R7 (on-die),No,0, 0,$120.00
 Intel Xeon E5-2697 V4  ,18,2.3 GHz,3.6 GHz,145 W,None,Yes,0, 0,
 Intel Core i7-3770S  ,4,3.1 GHz,,65 W,Intel HD Graphics 4000,Yes,5, 3,$75.00
 Intel Xeon E5-2697 V3  ,14,2.6 GHz,3.6 GHz,145 W,None,Yes,5, 1,
 Intel Core i3-4160  ,2,3.6 GHz,,54 W,Intel HD Graphics 4400,Yes,5, 28,
 Intel Core i7-4960X Extreme Edition  ,6,3.6 GHz,4 GHz,130 W,None,Yes,5, 7,$295.00
 Intel Core i7-6950X  ,10,3 GHz,3.5 GHz,140 W,None,Yes,5, 4,$651.07
 Intel Pentium G4400  ,2,3.3 GHz,,54 W,Intel HD Graphics 510,No,4, 31,$85.00
 Intel Core i7-4790S  ,4,3.2 GHz,4 GHz,65 W,Intel HD Graphics 4000,Yes,5, 2,
 AMD A10-7850K  ,4,3.7 GHz,4 GHz,95 W,Radeon R7 (on-die),No,5, 52,$139.84
 Intel Xeon E5-2698 V4  ,20,2.2 GHz,3.6 GHz,135 W,None,Yes,0, 0,
 Intel Core i5-6400  ,4,2.7 GHz,3.3 GHz,65 W,Intel HD Graphics 530,No,5, 2,
 Intel Core i7-9800X  ,8,3.8 GHz,4.5 GHz,165 W,None,Yes,0, 0,
 Intel Core i5-8600K  ,6,3.6 GHz,4.3 GHz,95 W,Intel UHD Graphics 630,No,0, 0,
 Intel Core i7-4770K  ,4,3.5 GHz,3.9 GHz,84 W,Intel HD Graphics 4600,Yes,0, 0,$155.86
 Intel Core i7-8700T  ,6,2.4 GHz,4 GHz,35 W,Intel UHD Graphics 630,Yes,0, 0,$199.00
 AMD A6-6400K  ,2,3.9 GHz,,65 W,Radeon HD 8470D,No,5, 13,$75.00
 Intel Core i7-870  ,4,2.93 GHz,,95 W,None,Yes,4, 3,$100.00
 Intel Xeon E5-1650 V3  ,6,3.5 GHz,3.8 GHz,140 W,None,Yes,0, 0,
 Intel Core i3-3240  ,2,3.4 GHz,,55 W,Intel HD Graphics 2500,Yes,4, 6,$106.51
 Intel Xeon E5-2620 V3  ,6,2.4 GHz,3.2 GHz,85 W,None,Yes,0, 0,$68.07
 Intel Core i5-4570T  ,2,2.9 GHz,,35 W,Intel HD Graphics 4600,Yes,3, 1,$79.00
 Intel Pentium Gold G6500  ,2,4.1 GHz,,58 W,Intel UHD Graphics 630,Yes,0, 0,$70.98
 AMD Phenom II X6 1090T Black  ,6,3.2 GHz,,125 W,None,No,4, 7,
 Intel Core i5-7400  ,4,3 GHz,3.5 GHz,65 W,Intel HD Graphics 630,No,0, 0,$110.00
 AMD Athlon II X4 630  ,4,2.8 GHz,,95 W,None,No,0, 0,$52.60
 AMD A8-7600  ,4,3.1 GHz,3.8 GHz,65 W,Radeon R7 (on-die),No,5, 22,
 Intel Core i5-9500F  ,6,3 GHz,4.4 GHz,65 W,None,No,0, 0,
 Intel Xeon E5-1620 V4  ,4,3.5 GHz,3.8 GHz,140 W,None,Yes,0, 0,$157.66
 Intel Core i5-2400S  ,4,2.5 GHz,,65 W,Intel HD Graphics 2000,No,0, 0,$70.00
