CPU Name,Core Count,Performance Core Clock,Boost Clock,TDP,Integrated Graphics,Sockets Supported,Raiting,Raiting Count,Price
 Intel Xeon E5-2660  ,8,2.2 GHz,3 GHz,95 W,None,Yes,0, 0,
 Intel Core i3-4370  ,2,3.8 GHz,,54 W,Intel HD Graphics 4600,Yes,5, 6,$60.00
 Intel Core i5-2320  ,4,3 GHz,,95 W,Intel HD Graphics 2000,No,4, 6,
 AMD A8-9600  ,4,3.1 GHz,3.4 GHz,65 W,Radeon R7 (on-die),No,0, 0,
 AMD A8-6600K  ,4,3.9 GHz,,100 W,Radeon HD 8570D,No,5, 21,$92.86
 Intel Core 2 Duo E7500  ,2,2.93 GHz,,65 W,None,No,5, 3,$99.63
 Intel Xeon E5-1630 V4  ,4,3.7 GHz,4 GHz,140 W,None,Yes,0, 0,$229.95
 Intel Celeron E3400  ,2,2.6 GHz,,65 W,None,No,0, 0,$18.98
 AMD Athlon II 160u  ,1,1.8 GHz,,20 W,None,No,0, 0,
 Intel Xeon E5-2680  ,8,2.7 GHz,3.5 GHz,130 W,None,Yes,5, 1,$80.00
 Intel Core i3-6098P  ,2,3.6 GHz,,54 W,Intel HD Graphics 510,Yes,4, 1,$59.00
 Intel Core i5-6500T  ,4,2.5 GHz,3.1 GHz,35 W,Intel HD Graphics 530,No,0, 0,
 Intel Core i9-9900X  ,10,3.5 GHz,4.4 GHz,165 W,None,Yes,0, 0,$649.95
 AMD Ryzen 5 PRO 7645  ,6,3.8 GHz,5.1 GHz,65 W,Radeon,Yes,0, 0,
 AMD Ryzen 3 2200G  ,4,3.5 GHz,3.7 GHz,65 W,Radeon Vega 8,No,0, 0,
 Intel Xeon E5-2695 V2  ,12,2.4 GHz,3.2 GHz,115 W,None,Yes,0, 0,$189.00
 AMD Athlon X2 370K  ,2,4.2 GHz,,65 W,None,No,0, 0,
 Intel Core i3-6100T  ,2,3.2 GHz,,35 W,Intel HD Graphics 530,Yes,0, 0,
 Intel Core i5-4590S  ,4,3 GHz,3.7 GHz,65 W,Intel HD Graphics 4000,No,5, 8,
 Intel Core i7-10700K Avengers Collector's Edition  ,8,3.8 GHz,5.1 GHz,125 W,Intel UHD Graphics 630,Yes,0, 0,$741.00
 AMD FX-8320  ,8,3.5 GHz,,125 W,None,No,5, 1,$106.55
 Intel Celeron G3930  ,2,2.9 GHz,,51 W,Intel HD Graphics 610,No,5, 3,$53.12
 Intel Celeron G4900  ,2,3.1 GHz,,65 W,Intel UHD Graphics 610,No,5, 2,$50.00
 AMD FX-8350  ,8,4 GHz,,125 W,None,No,5, 2,$192.57
 Intel Core i7-950  ,4,3.06 GHz,,130 W,None,Yes,5, 5,$100.00
 AMD Ryzen 7 PRO 7745  ,8,3.8 GHz,5.3 GHz,65 W,Radeon,Yes,0, 0,
 Intel Xeon E5-2650  ,8,2 GHz,2.8 GHz,95 W,None,Yes,5, 1,$57.00
 AMD 2650  ,2,1.45 GHz,,25 W,Radeon HD 8240,No,5, 2,$169.00
 Intel Xeon E5-2690 V4  ,14,2.6 GHz,3.5 GHz,135 W,None,Yes,5, 1,
 Intel Core 2 Quad Q9650  ,4,3 GHz,,95 W,None,No,5, 1,
 Intel Core i3-10320  ,4,3.8 GHz,4.6 GHz,65 W,Intel UHD Graphics 630,Yes,0, 0,$123.49
 AMD Athlon X4 950  ,4,3.5 GHz,3.8 GHz,65 W,None,No,4, 4,
 Intel Celeron G3920  ,2,2.6 GHz,,35 W,Intel HD Graphics 510,No,0, 0,$495.09
 AMD A10-6700  ,4,3.7 GHz,,65 W,Radeon HD 8670D,No,5, 3,$112.76
 Intel Core i5-9500T  ,6,2.2 GHz,3.7 GHz,35 W,Intel UHD Graphics 630,No,0, 0,
 Intel Core i5-3550  ,4,3.3 GHz,,77 W,Intel HD Graphics 2500,No,4, 3,$335.00
 Intel Xeon E5-1660 V3  ,8,3 GHz,3.5 GHz,140 W,None,Yes,5, 1,$204.44
 AMD Phenom II X4 965 Black  ,4,3.4 GHz,,125 W,None,No,5, 34,
 Intel Core i7-5775C  ,4,3.3 GHz,3.7 GHz,65 W,Iris Pro Graphics 6200,Yes,5, 3,$250.00
 Intel Xeon E5-1620 V3  ,4,3.5 GHz,3.6 GHz,140 W,None,Yes,4, 1,$71.90
 Intel Core i3-8100T  ,4,3.1 GHz,,35 W,Intel UHD Graphics 630,No,0, 0,
 Intel Core i5-9600KF  ,6,3.7 GHz,4.6 GHz,95 W,None,No,5, 2,$339.95
 AMD A8-7680  ,4,3.5 GHz,3.8 GHz,65 W,Radeon R7 (on-die),No,0, 0,
 Intel Xeon E3-1270 V3  ,4,3.5 GHz,3.9 GHz,80 W,None,Yes,0, 0,$420.00
 Intel Core i7-940  ,4,2.93 GHz,,130 W,None,Yes,4, 1,$78.67
 Intel Core i7-960  ,4,3.2 GHz,,130 W,None,Yes,5, 2,$299.00
 Intel Core i5-650  ,2,3.2 GHz,,73 W,Intel HD Graphics,Yes,4, 1,$100.00
 Intel Xeon E5-2687W V3  ,10,3.1 GHz,3.5 GHz,160 W,None,Yes,0, 0,
 Intel Pentium Gold G6605  ,2,4.3 GHz,,58 W,Intel UHD Graphics 630,Yes,0, 0,$173.36
 Intel Xeon E3-1230 V2  ,4,3.3 GHz,,69 W,None,Yes,5, 6,$271.85
 Intel Xeon E5-2640 V4  ,10,2.4 GHz,3.4 GHz,90 W,None,Yes,0, 0,
 AMD A10-7800  ,4,3.5 GHz,3.9 GHz,65 W,Radeon R7 (on-die),No,0, 0,
 Intel Core i5-7600K  ,4,3.8 GHz,4.2 GHz,91 W,Intel HD Graphics 630,No,0, 0,
 Intel Core i9-10850K  ,10,3.6 GHz,5.2 GHz,125 W,Intel UHD Graphics 630,Yes,5, 2,
 Intel Core i3-7320  ,2,4.1 GHz,,51 W,Intel HD Graphics 630,Yes,0, 0,$66.81
 AMD A6-7400K  ,2,3.5 GHz,3.9 GHz,65 W,Radeon R5 (on die),No,4, 7,$89.98
 Intel Core i3-9350KF  ,4,4 GHz,4.6 GHz,91 W,None,No,4, 1,$206.00
 AMD A4-5300  ,2,3.4 GHz,,65 W,Radeon HD 7480D,No,4, 8,
 Intel Core i7-3970X Extreme Edition  ,6,3.5 GHz,,150 W,None,Yes,5, 4,$216.93
 Intel Core i3-6100  ,2,3.7 GHz,,51 W,Intel HD Graphics 530,Yes,0, 0,$98.95
 AMD Athlon X4 970  ,4,3.8 GHz,4 GHz,65 W,None,No,0, 0,
 Intel Xeon E5-2680 V3  ,12,2.5 GHz,3.3 GHz,120 W,None,Yes,5, 1,
 Intel Core i5-9400  ,6,2.9 GHz,4.1 GHz,65 W,Intel UHD Graphics 630,No,0, 0,
 Intel Core 2 Extreme QX9770  ,4,3.2 GHz,,136 W,None,No,5, 1,
 AMD FX-8320E  ,8,3.2 GHz,4 GHz,95 W,None,No,5, 31,
 Intel Xeon E3-1220 V3  ,4,3.1 GHz,3.5 GHz,80 W,None,No,5, 2,$106.30
 Intel Core i9-9960X  ,16,3.1 GHz,4.4 GHz,165 W,None,Yes,0, 0,$998.95
 Intel Xeon E-2278G  ,8,3.4 GHz,5 GHz,80 W,Intel HD Graphics P630,Yes,0, 0,
 Intel Celeron G440  ,1,1.6 GHz,,35 W,Intel HD Graphics,No,0, 0,
 Intel Core 2 Extreme QX9650  ,4,3 GHz,,130 W,None,No,0, 0,$152.52
 Intel Xeon E5-2620  ,6,2 GHz,,95 W,None,Yes,0, 0,$36.75
 Intel Pentium Gold G6600  ,2,4.2 GHz,,58 W,Intel UHD Graphics 630,Yes,0, 0,
 Intel Core i5-3350P  ,4,3.1 GHz,,69 W,None,No,5, 12,
 AMD A10-5800K  ,4,3.8 GHz,,100 W,Radeon HD 7660D,No,5, 39,
 AMD Ryzen 7 2700  ,8,3.2 GHz,4.1 GHz,65 W,None,Yes,0, 0,
 AMD FX-6350  ,6,3.9 GHz,,125 W,None,No,4, 1,
 Intel Celeron G1610  ,2,2.6 GHz,,55 W,Intel HD Graphics,No,5, 3,$37.00
 Intel Core i9-7900X  ,10,3.3 GHz,4.5 GHz,140 W,None,Yes,0, 0,$898.95
 AMD A10-6800K  ,4,4.1 GHz,,100 W,Radeon HD 8670D,No,5, 41,
 Intel Core i7-4771  ,4,3.5 GHz,3.9 GHz,84 W,Intel HD Graphics 4600,Yes,5, 7,
 Intel Core i5-7400T  ,4,2.4 GHz,3 GHz,35 W,Intel HD Graphics 630,No,0, 0,$82.62
 AMD A8-7650K  ,4,3.3 GHz,3.7 GHz,95 W,Radeon R7 (on-die),No,5, 4,
 Intel Core i3-10100T  ,4,3 GHz,3.8 GHz,35 W,Intel UHD Graphics 630,Yes,0, 0,
 AMD A10-7700K  ,4,3.4 GHz,3.8 GHz,95 W,Radeon R7 (on-die),No,5, 14,$132.86
 Intel Core i7-990X Extreme Edition  ,6,3.467 GHz,,130 W,None,Yes,4, 1,
 AMD FX-8350  ,8,4 GHz,,125 W,None,No,5, 8,$248.02
 AMD FX-8150  ,8,3.6 GHz,,125 W,None,No,5, 16,
 Intel Core i5-4690K  ,4,3.5 GHz,3.9 GHz,88 W,Intel HD Graphics 4600,No,5, 4,
 Intel Core i5-8500  ,6,3 GHz,4.1 GHz,65 W,Intel UHD Graphics 630,No,0, 0,$159.99
 Intel Core i5-2300  ,4,2.8 GHz,,95 W,Intel HD Graphics 2000,No,5, 2,
 AMD Athlon X4 860K  ,4,3.7 GHz,4 GHz,95 W,None,No,5, 69,
 Intel Core i3-540  ,2,3.06 GHz,,73 W,Intel HD Graphics,Yes,5, 2,$90.00
 Intel Core i9-9960X  ,16,3.1 GHz,4.4 GHz,165 W,None,Yes,0, 0,
 Intel Core i5-4570S  ,4,2.9 GHz,,65 W,Intel HD Graphics 4600,No,5, 3,
 Intel Pentium G4600  ,2,3.6 GHz,,51 W,Intel HD Graphics 630,Yes,5, 23,
 Intel Core i5-7500  ,4,3.4 GHz,3.8 GHz,65 W,Intel HD Graphics 630,No,0, 0,
 Intel Core i7-3960X Extreme Edition  ,6,3.3 GHz,,130 W,None,Yes,5, 6,$274.85
 Intel Pentium Gold G5400T  ,2,3.1 GHz,,35 W,Intel UHD Graphics 610,Yes,4, 1,$79.95
 Intel Xeon E5-4620  ,8,2.2 GHz,2.6 GHz,95 W,None,Yes,0, 0,$52.00
 Intel Pentium Gold G6405  ,2,4.1 GHz,,58 W,Intel UHD Graphics 610,Yes,0, 0,$90.52
 Intel Core i3-4130T  ,2,2.9 GHz,,35 W,Intel HD Graphics 4400,Yes,5, 6,$60.00
 Intel Core i5-760  ,4,2.8 GHz,,95 W,None,No,5, 3,$100.00
 Intel Core i7-970  ,6,3.2 GHz,,130 W,None,Yes,5, 1,
 AMD Phenom II X6 1100T Black  ,6,3.3 GHz,,125 W,None,No,4, 4,
 Intel Xeon E3-1240L V5  ,4,2.1 GHz,3.2 GHz,25 W,None,Yes,0, 0,
 Intel Xeon E5-2620 V4  ,8,2.1 GHz,3 GHz,85 W,None,Yes,5, 3,$429.95
 Intel Core i7-2600S  ,4,2.8 GHz,,65 W,Intel HD Graphics 2000,Yes,5, 1,$235.00
 Intel Xeon E5-2660 V3  ,10,2.6 GHz,3.3 GHz,105 W,None,Yes,0, 0,
 Intel Core i7-7700T  ,4,2.9 GHz,3.8 GHz,35 W,Intel HD Graphics 630,Yes,0, 0,$380.00
 Intel Xeon E3-1230 V3  ,4,3.3 GHz,3.7 GHz,80 W,None,Yes,5, 10,$315.86
 Intel Pentium Gold G5400  ,2,3.7 GHz,,58 W,Intel UHD Graphics 610,Yes,5, 8,$50.00
 Intel Core 2 Quad Q6600  ,4,2.4 GHz,,100 W,None,No,4, 5,$94.97
 AMD A8-5600K  ,4,3.6 GHz,,100 W,Radeon HD 7560D,No,4, 16,$249.99
 Intel Core 2 Duo E6400  ,2,2.13 GHz,,65 W,None,No,0, 0,$34.94
 Intel Xeon E5-2690 V3  ,12,2.6 GHz,3.5 GHz,135 W,None,Yes,5, 1,
 Intel Core i9-7940X  ,14,3.1 GHz,4.4 GHz,165 W,None,Yes,5, 2,
 Intel Core i9-9900  ,8,3.1 GHz,5 GHz,65 W,Intel UHD Graphics 630,Yes,4, 1,
 Intel Core i5-9400  ,6,2.9 GHz,4.1 GHz,65 W,Intel UHD Graphics 630,No,0, 0,
 Intel Xeon E-2288G  ,8,3.7 GHz,5 GHz,95 W,Intel HD Graphics P630,Yes,0, 0,
 AMD Athlon II X4 640  ,4,3 GHz,,95 W,None,No,5, 3,$74.79
 Intel Core i5-7600  ,4,3.5 GHz,4.1 GHz,65 W,Intel HD Graphics 630,No,0, 0,
 AMD Phenom II X4 955  ,4,3.2 GHz,,125 W,None,No,5, 2,
 Intel Core i5-4690K  ,4,3.5 GHz,3.9 GHz,88 W,Intel HD Graphics 4600,No,5, 3,
 Intel Xeon E5-2667 V2  ,8,3.3 GHz,4 GHz,130 W,None,Yes,0, 0,
 AMD A10-7890K  ,4,4.1 GHz,4.3 GHz,95 W,Radeon R7 (on-die),No,5, 6,
 AMD Ryzen 3 1200 ,4,3.1 GHz,3.4 GHz,65 W,None,No,0, 0,
 Intel Core i5-10600K  ,6,4.1 GHz,4.8 GHz,125 W,Intel UHD Graphics 630,Yes,0, 0,
 Intel Core i3-3250  ,2,3.5 GHz,,55 W,Intel HD Graphics 2500,Yes,5, 1,$63.00
 Intel Core i5-3470S  ,4,2.9 GHz,,65 W,Intel HD Graphics 2500,No,0, 0,
 Intel Core i9-10900K  ,10,3.7 GHz,5.3 GHz,125 W,Intel UHD Graphics 630,Yes,0, 0,
 Intel Xeon E3-1245 V6  ,4,3.7 GHz,4.1 GHz,73 W,Intel HD Graphics P630,Yes,5, 1,$604.29
 AMD A12-9800  ,4,3.8 GHz,4.2 GHz,65 W,Radeon R7 (on-die),No,0, 0,$160.00
 Intel Xeon E5-2630 V4  ,10,2.2 GHz,3.1 GHz,85 W,None,Yes,0, 0,$335.07
 Intel Core i3-8100  ,4,3.6 GHz,,65 W,Intel UHD Graphics 630,No,0, 0,$124.90
 Intel Xeon E-2286G  ,6,4 GHz,4.9 GHz,95 W,Intel HD Graphics P630,Yes,0, 0,$799.45
 Intel Pentium E6600  ,2,3.06 GHz,,65 W,None,No,0, 0,$50.00
 Intel Pentium G2030  ,2,3 GHz,,55 W,Intel HD Graphics,No,5, 1,
 AMD Threadripper 2990WX  ,32,3 GHz,4.2 GHz,250 W,None,Yes,0, 0,
 Intel Core i9-10850KA Avengers Limited Edition  ,10,3.6 GHz,5.2 GHz,125 W,Intel UHD Graphics 630,Yes,0, 0,
 Intel Core i7-5930K  ,6,3.5 GHz,3.7 GHz,140 W,None,Yes,0, 0,$529.95
 Intel Core i3-7100T  ,2,3.4 GHz,,35 W,Intel HD Graphics 630,Yes,0, 0,$72.80
 Intel Celeron 440  ,1,2 GHz,,35 W,None,No,0, 0,$34.99
 Intel Core i5-6600T  ,4,2.7 GHz,3.5 GHz,35 W,Intel HD Graphics 530,No,0, 0,$179.95
 Intel Core i9-9940X  ,14,3.3 GHz,4.4 GHz,165 W,None,Yes,0, 0,
 AMD FX-9590  ,8,4.7 GHz,5 GHz,220 W,None,No,5, 3,
 Intel Core i5-6600  ,4,3.3 GHz,3.9 GHz,65 W,Intel HD Graphics 530,No,0, 0,
 Intel Core i3-9300  ,4,3.7 GHz,4.3 GHz,62 W,Intel UHD Graphics 630,No,0, 0,$165.00
 Intel Core i7-875K  ,4,2.93 GHz,,95 W,None,Yes,5, 1,$205.86
 Intel Xeon E3-1265L V3  ,4,2.5 GHz,3.7 GHz,45 W,Intel HD Graphics,Yes,5, 2,$398.95
 AMD FX-4100  ,4,3.6 GHz,,95 W,None,No,4, 16,
 Intel Core i3-6300  ,2,3.8 GHz,,51 W,Intel HD Graphics 530,Yes,5, 3,
 AMD A10-5700  ,4,3.4 GHz,,65 W,Radeon HD 7660D,No,0, 0,$68.02
 Intel Core i3-2120T  ,2,2.6 GHz,,35 W,Intel HD Graphics 2000,Yes,5, 1,$60.00
 Intel Pentium G3220  ,2,3 GHz,,54 W,Intel HD Graphics,No,5, 18,
 AMD Opteron 6378  ,16,2.4 GHz,3.3 GHz,115 W,None,No,0, 0,
 Intel Pentium Gold G5420  ,2,3.8 GHz,,54 W,Intel UHD Graphics 610,Yes,0, 0,
 Intel Core i9-7980XE  ,18,2.6 GHz,4.4 GHz,165 W,None,Yes,0, 0,$1249.95
 AMD Athlon 200GE  ,2,3.2 GHz,,35 W,Radeon Vega 3,Yes,0, 0,
 Intel Core i7-980  ,6,3.333 GHz,,130 W,None,Yes,5, 1,$356.02
 Intel Core i5-2310  ,4,2.9 GHz,,95 W,Intel HD Graphics 2000,No,5, 2,
 Intel Xeon E5-2660 V3  ,10,2.6 GHz,3.3 GHz,105 W,None,Yes,0, 0,$149.94
 Intel Core i5-7640X  ,4,4 GHz,4.2 GHz,112 W,None,No,0, 0,$250.00
 Intel Xeon E-2274G  ,4,4 GHz,4.9 GHz,83 W,Intel HD Graphics P630,Yes,0, 0,$1064.00
 AMD 3850  ,4,1.3 GHz,,25 W,Radeon HD 8280,No,3, 1,
 Intel Xeon E5-1620  ,4,3.6 GHz,3.8 GHz,130 W,None,Yes,5, 2,
 Intel Core i9-9900T  ,8,2.1 GHz,4.4 GHz,35 W,Intel UHD Graphics 630,Yes,0, 0,
 AMD A10-6700  ,4,3.7 GHz,,65 W,Radeon HD 8670D,No,0, 0,$83.22
 Intel Xeon E3-1220 V5  ,4,3 GHz,3.5 GHz,80 W,None,No,0, 0,$107.09
 Intel Xeon E5-2650L  ,8,1.8 GHz,2.3 GHz,70 W,None,Yes,0, 0,$129.94
 AMD A10-7870K  ,4,3.9 GHz,4.1 GHz,95 W,Radeon R7 (on-die),No,5, 8,$324.45
 Intel Core i3-3225  ,2,3.3 GHz,,55 W,Intel HD Graphics 4000,Yes,5, 9,
 Intel Xeon E-2136  ,6,3.3 GHz,4.5 GHz,80 W,None,Yes,0, 0,
 Intel Xeon E5-1660 V2  ,6,3.7 GHz,4 GHz,130 W,None,Yes,5, 1,$189.95
 Intel Core i3-4340  ,2,3.6 GHz,,54 W,Intel HD Graphics 4600,Yes,5, 3,$60.00
 Intel Xeon E5-1650 V2  ,6,3.5 GHz,3.9 GHz,130 W,None,Yes,4, 1,$238.02
 Intel Xeon E5-2690 V2  ,10,3 GHz,3.6 GHz,130 W,None,Yes,5, 1,
 Intel Core i7-4790T  ,4,2.7 GHz,3.9 GHz,45 W,None,Yes,0, 0,$155.86
 Intel Core 2 Quad Q8400  ,4,2.66 GHz,,95 W,None,No,0, 0,$155.97
 Intel Core i7-5820K  ,6,3.3 GHz,3.6 GHz,140 W,None,Yes,0, 0,
 Intel Core 2 Quad Q6600  ,4,2.4 GHz,,100 W,None,No,4, 6,
 Intel Xeon E3-1246 V3  ,4,3.5 GHz,3.9 GHz,84 W,Intel HD Graphics P4600,Yes,5, 1,
 Intel Core i5-5675C  ,4,3.1 GHz,3.6 GHz,65 W,Iris Pro Graphics 6200,No,5, 1,
 AMD Athlon X4 880K  ,4,4 GHz,4.2 GHz,95 W,None,No,4, 5,
 Intel Xeon E5-1620 V2  ,4,3.7 GHz,3.9 GHz,130 W,None,Yes,5, 3,
 AMD Phenom II X6 1055T  ,6,2.8 GHz,,125 W,None,No,4, 3,
 AMD FX-8120  ,8,3.1 GHz,,125 W,None,No,5, 10,
 Intel Xeon E5-2670 V2  ,10,2.5 GHz,3.3 GHz,115 W,None,Yes,4, 1,
 Intel Pentium G4500  ,2,3.5 GHz,,51 W,Intel HD Graphics 530,No,5, 2,$84.34
 AMD A10-7860k  ,4,3.6 GHz,4 GHz,65 W,Radeon R7 (on-die),No,5, 5,
 Intel Core i9-9820X  ,10,3.3 GHz,4.1 GHz,165 W,None,Yes,5, 2,
 Intel Core i5-4590T  ,4,2 GHz,,35 W,Intel HD Graphics 4000,Yes,0, 0,
 Intel Xeon E-2276G  ,6,3.8 GHz,4.9 GHz,80 W,Intel HD Graphics P630,Yes,4, 1,$522.50
 Intel Celeron G3900  ,2,2.8 GHz,,51 W,Intel HD Graphics 510,No,4, 2,$61.39
 Intel Xeon E3-1270 V2  ,4,3.5 GHz,,69 W,None,Yes,0, 0,
 Intel Xeon E5-2695 V4  ,18,2.1 GHz,3.3 GHz,120 W,None,Yes,0, 0,
 Intel Xeon E5-2470V2  ,10,2.4 GHz,3.2 GHz,95 W,None,Yes,0, 0,$229.95
 AMD A8-3870K  ,4,3 GHz,,100 W,Radeon HD 6550D,No,3, 3,
 Intel Core i5-8600T  ,6,2.3 GHz,3.7 GHz,35 W,Intel UHD Graphics 630,No,4, 1,
 Intel Core i3-9100T  ,4,3.1 GHz,3.7 GHz,35 W,Intel UHD Graphics 630,No,0, 0,
 Intel Celeron G4920  ,2,3.2 GHz,,65 W,Intel UHD Graphics 610,No,0, 0,$71.94
 Intel Core 2 Duo E4300  ,2,1.8 GHz,,65 W,None,No,0, 0,
 Intel Core i7-930  ,4,2.8 GHz,,130 W,None,Yes,5, 3,$257.27
 Intel Core i3-3210  ,2,3.2 GHz,,55 W,Intel HD Graphics 2500,Yes,0, 0,$70.00
 Intel Celeron 420  ,1,1.6 GHz,,35 W,None,No,0, 0,
 Intel Core i3-8300  ,4,3.7 GHz,,62 W,Intel UHD Graphics 630,No,0, 0,
 Intel Core i7-9700T  ,8,2 GHz,4.3 GHz,35 W,Intel HD Graphics 630,No,0, 0,
 AMD FX-9370  ,8,4.4 GHz,4.7 GHz,220 W,None,No,5, 2,
 Intel Xeon E5-2680 V2  ,10,2.8 GHz,3.6 GHz,115 W,None,Yes,0, 0,
 Intel Pentium G630  ,2,2.7 GHz,,65 W,Intel HD Graphics,No,0, 0,$37.49
 Intel Core i3-4330  ,2,3.5 GHz,,54 W,Intel HD Graphics 4600,Yes,5, 16,
 AMD Athlon II X4 620  ,4,2.6 GHz,,95 W,None,No,5, 1,$59.49
 AMD A8-5500  ,4,3.2 GHz,,65 W,Radeon HD 7560D,No,4, 5,
 Intel Core i5-3570  ,4,3.4 GHz,,77 W,Intel HD Graphics 2500,No,4, 1,
 Intel Xeon E3-1241 V3  ,4,3.5 GHz,3.9 GHz,80 W,None,Yes,5, 9,$298.00
 Intel Xeon E3-1225 V6  ,4,3.3 GHz,3.7 GHz,73 W,Intel HD Graphics P630,No,0, 0,$349.95
 Intel Core 2 Extreme QX9775  ,4,3.2 GHz,,150 W,None,No,0, 0,$1298.00
 Intel Xeon E3-1230 V6  ,4,3.5 GHz,3.9 GHz,72 W,None,Yes,5, 1,
 Intel Xeon E-2236  ,6,3.4 GHz,4.8 GHz,80 W,None,Yes,0, 0,$430.00
 Intel Core i5-4440S  ,4,2.8 GHz,3.3 GHz,65 W,Intel HD Graphics 4600,No,0, 0,$50.00
 Intel Core 2 Quad Q9400  ,4,2.66 GHz,,95 W,None,No,4, 1,
 AMD A8-6500  ,4,3.5 GHz,,65 W,Radeon HD 8570D,No,0, 0,
 Intel Xeon E3-1271 V3  ,4,3.6 GHz,4 GHz,80 W,None,Yes,5, 1,
