CPU Name,Core Count,Performance Core Clock,Boost Clock,TDP,Integrated Graphics,Sockets Supported,Raiting,Raiting Count,Price
 AMD Ryzen 7 1800X  ,8,3.6 GHz,4 GHz,95 W,None,Yes,5, 1,
 Intel Core i5-7640X  ,4,4 GHz,4.2 GHz,112 W,None,No,0, 0,$225.40
 Intel Core 2 Duo E7300  ,2,2.66 GHz,,65 W,None,No,0, 0,$38.19
 Intel Core 2 Quad Q9550  ,4,2.83 GHz,,95 W,None,No,5, 4,$165.51
 AMD Phenom II X4 820  ,4,2.8 GHz,,95 W,None,No,0, 0,$56.64
 Intel Core i5-2550K  ,4,3.4 GHz,,95 W,None,No,0, 0,
 AMD Athlon X4 760K  ,4,3.8 GHz,4.1 GHz,100 W,None,No,4, 49,
 Intel Xeon E5-2660 V2  ,10,2.2 GHz,3 GHz,95 W,None,Yes,0, 0,
 Intel Core i7-3770T  ,4,2.5 GHz,3.7 GHz,45 W,Intel HD Graphics 4000,Yes,0, 0,
 Intel Core i5-4460S  ,4,2.9 GHz,3.4 GHz,65 W,Intel HD Graphics 4000,No,0, 0,
 Intel Xeon E5-2670  ,8,2.6 GHz,3.3 GHz,115 W,None,Yes,5, 5,
 Intel Core i3-560  ,2,3.333 GHz,,73 W,Intel HD Graphics,Yes,4, 1,$60.00
 Intel Core i5-660  ,2,3.33 GHz,,73 W,Intel HD Graphics,Yes,0, 0,$149.94
 Intel Xeon E5-2680 V3  ,12,2.5 GHz,3.3 GHz,120 W,None,Yes,0, 0,
 Intel Xeon E5-2643 V4  ,6,3.4 GHz,3.7 GHz,135 W,None,Yes,0, 0,$949.95
 Intel Core i3-4160  ,2,3.6 GHz,,54 W,Intel HD Graphics 4400,Yes,3, 1,
 AMD Ryzen 7 1800X  ,8,3.6 GHz,4 GHz,95 W,None,Yes,4, 1,
 Intel Core i3-6320  ,2,3.9 GHz,,51 W,Intel HD Graphics 530,Yes,5, 1,$165.00
 Intel Core i5-6400T  ,4,2.2 GHz,2.8 GHz,35 W,Intel HD Graphics 530,No,0, 0,
 Intel Celeron G530  ,2,2.4 GHz,,65 W,Intel HD Graphics,No,4, 1,$55.86
 Intel Celeron G1840  ,2,2.8 GHz,,53 W,Intel HD Graphics,No,5, 5,
 Intel Xeon E5-2640 V3  ,8,2.6 GHz,3.4 GHz,90 W,None,Yes,0, 0,$329.95
 Intel Core i7-6800K  ,6,3.4 GHz,3.6 GHz,140 W,None,Yes,0, 0,$329.11
 AMD Athlon II X2 250  ,2,3 GHz,,65 W,None,No,4, 2,
 AMD Athlon II X4 635  ,4,2.9 GHz,,95 W,None,No,0, 0,$58.02
 Intel Core i3-2130  ,2,3.4 GHz,,65 W,Intel HD Graphics 2000,Yes,5, 1,
 AMD A6-5400K  ,2,3.6 GHz,,65 W,Radeon HD 7540D,No,4, 9,
 Intel Xeon E3-1220 V2  ,4,3.1 GHz,,69 W,None,No,0, 0,
 Intel Pentium G3420  ,2,3.2 GHz,,54 W,Intel HD Graphics,No,5, 5,
 Intel Core i7-4790K  ,4,4 GHz,4.4 GHz,88 W,Intel HD Graphics 4600,Yes,5, 3,
 AMD FX-4100  ,4,3.6 GHz,,95 W,None,No,0, 0,
 Intel Core i7-7800X  ,6,3.5 GHz,4 GHz,140 W,None,Yes,0, 0,
 Intel Core i5-8500  ,6,3 GHz,4.1 GHz,65 W,Intel UHD Graphics 630,No,0, 0,
 Intel Core i9-9900X  ,10,3.5 GHz,4.4 GHz,165 W,None,Yes,5, 1,
 Intel Core i3-10325  ,4,3.9 GHz,4.7 GHz,65 W,Intel UHD Graphics 630,Yes,0, 0,
 Intel Xeon E5-2695 V3  ,14,2.3 GHz,3.3 GHz,120 W,None,Yes,0, 0,$498.95
 Intel Xeon E5-1650 V4  ,6,3.6 GHz,4 GHz,140 W,None,Yes,0, 0,
 Intel Core 2 Duo E6700  ,2,2.66 GHz,,65 W,None,No,4, 1,$69.95
 AMD FX-4350  ,4,4.2 GHz,,125 W,None,No,0, 0,$113.51
 AMD Athlon 220GE  ,2,3.4 GHz,,35 W,Radeon Vega 3,Yes,5, 3,
 AMD Phenom II X4 955 Black  ,4,3.2 GHz,,125 W,None,No,5, 12,
 Intel Xeon E5-1630 V3  ,4,3.7 GHz,3.8 GHz,140 W,None,Yes,5, 1,
 Intel Xeon E3-1245 V5  ,4,3.5 GHz,3.9 GHz,80 W,Intel HD Graphics P530,Yes,0, 0,
 AMD A6-9500E  ,2,3 GHz,3.4 GHz,35 W,Radeon R5 (on die),No,0, 0,
 Intel Core i5-3570S  ,4,3.1 GHz,3.8 GHz,65 W,Intel HD Graphics 2500,No,0, 0,
 Intel Core i5-9500  ,6,3 GHz,4.4 GHz,65 W,Intel UHD Graphics 630,No,0, 0,
 Intel Core i3-9350K  ,4,4 GHz,4.6 GHz,91 W,Intel HD Graphics 630,No,0, 0,
 Intel Core i5-9600K  ,6,3.7 GHz,4.6 GHz,95 W,Intel UHD Graphics 630,No,0, 0,
 AMD Athlon 3000G ,2,3.5 GHz,,35 W,Radeon Vega 3,Yes,0, 0,
 Intel Xeon E3-1245 V2  ,4,3.4 GHz,,77 W,Intel HD Graphics P4000,Yes,4, 1,$367.50
 Intel Core i5-3330S  ,4,2.7 GHz,3.2 GHz,65 W,Intel HD Graphics 2500,No,0, 0,$149.94
 Intel Xeon E5-2687W V2  ,8,3.4 GHz,4 GHz,150 W,None,Yes,0, 0,
 Intel Xeon E5-2643 V3  ,6,3.4 GHz,3.7 GHz,135 W,None,Yes,0, 0,$229.95
 Intel Pentium E2140  ,2,1.6 GHz,,65 W,None,No,0, 0,$79.95
 AMD Phenom II X4 830  ,4,2.8 GHz,,95 W,None,No,4, 3,$55.05
 Intel Xeon E3-1240 V2  ,4,3.4 GHz,,69 W,None,Yes,4, 1,$345.00
 Intel Xeon E5-2643 V2  ,6,3.5 GHz,3.8 GHz,130 W,None,Yes,0, 0,$398.95
 Intel Pentium G4620  ,2,3.7 GHz,,51 W,Intel HD Graphics 630,Yes,0, 0,$224.12
 Intel Core 2 Quad Q8200  ,4,2.33 GHz,,95 W,None,No,4, 3,
 Intel Xeon E3-1240 V3  ,4,3.4 GHz,3.8 GHz,80 W,None,Yes,5, 6,
 Intel Celeron G1820  ,2,2.7 GHz,,53 W,Intel HD Graphics,No,5, 2,
 Intel Xeon E3-1275 V2  ,4,3.5 GHz,,77 W,Intel HD Graphics P4000,Yes,0, 0,$374.00
 Intel Xeon E5-2620 V3  ,6,2.4 GHz,3.2 GHz,85 W,None,Yes,0, 0,$95.07
 Intel Core i9-9940X  ,14,3.3 GHz,4.4 GHz,165 W,None,Yes,0, 0,$998.95
 Intel Xeon E3-1225 V5  ,4,3.3 GHz,3.7 GHz,80 W,Intel HD Graphics P530,No,0, 0,$295.00
 Intel Core 2 Duo E8600  ,2,3.33 GHz,,65 W,None,No,5, 2,
 Intel Xeon E5-2687W  ,8,3.1 GHz,3.8 GHz,150 W,None,Yes,0, 0,
 Intel Core i7-5960X  ,8,3 GHz,3.5 GHz,140 W,None,Yes,0, 0,
 Intel Core i5-4690  ,4,3.5 GHz,3.9 GHz,84 W,Intel HD Graphics 4600,No,0, 0,
 AMD A6-7470K  ,2,3.7 GHz,4 GHz,65 W,Radeon R5 (on die),No,5, 1,$89.00
 Intel Core i3-8350K  ,4,4 GHz,,91 W,Intel UHD Graphics 630,No,5, 1,
 Intel Xeon E5-2660  ,8,2.2 GHz,3 GHz,95 W,None,Yes,0, 0,
 Intel Celeron 440  ,1,2 GHz,,35 W,None,No,0, 0,$49.99
 AMD Phenom II X4 975  ,4,3.6 GHz,,125 W,None,No,0, 0,$168.02
 Intel Pentium G3250  ,2,3.2 GHz,,53 W,Intel HD Graphics,No,5, 2,$61.00
 Intel Xeon E5-2630L V3  ,8,1.8 GHz,2.9 GHz,55 W,None,Yes,0, 0,$410.00
 Intel Core i7-870  ,4,2.93 GHz,,95 W,None,Yes,5, 1,$195.02
 Intel Xeon E5-2650 V3  ,10,2.3 GHz,3 GHz,105 W,None,Yes,0, 0,
 Intel Core i7-6900K  ,8,3.2 GHz,3.7 GHz,140 W,None,Yes,0, 0,$295.06
 AMD Phenom II X4 945  ,4,3 GHz,,125 W,None,No,0, 0,
 Intel Core i7-880  ,4,3.06 GHz,,95 W,None,Yes,0, 0,
 AMD Phenom II X4 940 Black  ,4,3 GHz,,125 W,None,No,0, 0,
 AMD A4-3400  ,2,2.7 GHz,,65 W,Radeon HD 6410D,No,0, 0,$134.09
 AMD FX-8300  ,8,3.3 GHz,,95 W,None,No,0, 0,
 AMD FX-9590  ,8,4.7 GHz,5 GHz,220 W,None,No,5, 1,
 Intel Xeon E5-2690  ,8,2.9 GHz,3.8 GHz,135 W,None,Yes,0, 0,
 Intel Xeon E5-1650  ,6,3.2 GHz,3.8 GHz,130 W,None,Yes,4, 1,
 Intel Xeon E3-1270 V5  ,4,3.6 GHz,4 GHz,80 W,None,Yes,0, 0,
 AMD FX-8370  ,8,4 GHz,4.3 GHz,125 W,None,No,5, 6,
 Intel Core i7-6850K  ,6,3.6 GHz,3.8 GHz,140 W,None,Yes,0, 0,
 Intel Xeon E3-1220  ,4,3.1 GHz,,80 W,None,No,0, 0,$115.00
 AMD A12-9800E  ,4,3.1 GHz,3.8 GHz,35 W,Radeon R7 (on-die),No,0, 0,$138.02
 Intel Core i3-2105  ,2,3.1 GHz,,65 W,Intel HD Graphics 3000,Yes,0, 0,$60.00
 Intel Core i7-7820X  ,8,3.6 GHz,4.5 GHz,140 W,None,Yes,0, 0,$489.05
 Intel Core i7-7740X  ,4,4.3 GHz,4.5 GHz,112 W,None,Yes,0, 0,$504.57
 Intel Core i7-860  ,4,2.8 GHz,,95 W,None,Yes,4, 1,$189.95
 Intel Core i5-3450S  ,4,2.8 GHz,,65 W,Intel HD Graphics 2500,No,5, 1,$95.00
 Intel Pentium G3240  ,2,3.1 GHz,,53 W,Intel HD Graphics,No,4, 6,
 AMD Athlon 240GE  ,2,3.5 GHz,,35 W,Radeon Vega 3,Yes,0, 0,
 Intel Pentium E5200  ,2,2.5 GHz,,65 W,None,No,4, 1,
 Intel Core i7-965 Extreme Edition  ,4,3.2 GHz,,130 W,None,Yes,0, 0,
 Intel Pentium E6800  ,2,3.333 GHz,,65 W,None,No,0, 0,
 AMD A6-3650  ,4,2.6 GHz,,100 W,Radeon HD 6530D,No,4, 1,
 AMD Phenom II X6 1045T  ,6,2.7 GHz,,95 W,None,No,4, 3,
 AMD FX-6200  ,6,3.8 GHz,,125 W,None,No,5, 5,
 AMD FX-4130  ,4,3.8 GHz,,125 W,None,No,4, 12,
 Intel Xeon E3-1240 V5  ,4,3.5 GHz,3.9 GHz,80 W,None,Yes,0, 0,
 AMD Athlon 5370  ,4,2.2 GHz,,25 W,Radeon R3 (on die),No,0, 0,
 Intel Core i3-7300  ,2,4 GHz,,51 W,Intel HD Graphics 630,Yes,4, 2,
 Intel Core i5-9600T  ,6,2.3 GHz,3.9 GHz,35 W,Intel UHD Graphics 630,No,0, 0,
 Intel Core i7-860S  ,4,2.53 GHz,,82 W,None,Yes,0, 0,$100.00
 Intel Xeon E3-1225 V2  ,4,3.2 GHz,,77 W,Intel HD Graphics P4000,No,0, 0,$199.99
 Intel Core i5-3340  ,4,3.1 GHz,3.3 GHz,77 W,Intel HD Graphics 2500,No,4, 1,$278.02
 Intel Core i5-4690S  ,4,3.2 GHz,3.9 GHz,65 W,Intel HD Graphics 4600,No,5, 2,
 Intel Xeon E3-1285 V6  ,4,4.1 GHz,4.5 GHz,79 W,Intel HD Graphics 630,Yes,0, 0,$929.95
 Intel Celeron 430  ,1,1.8 GHz,,35 W,None,No,0, 0,$59.95
 Intel Core 2 Duo E8600  ,2,3.33 GHz,,65 W,None,No,0, 0,
 Intel Core i3-3220T  ,2,2.8 GHz,,35 W,Intel HD Graphics 2500,Yes,0, 0,$120.00
 Intel Core i5-3340S  ,4,2.8 GHz,3.3 GHz,65 W,Intel HD Graphics 2500,No,0, 0,
 Intel Xeon E5-2650L V2  ,10,1.7 GHz,2.1 GHz,70 W,None,Yes,0, 0,
 Intel Xeon E5-1680 V3  ,8,3.2 GHz,3.8 GHz,140 W,None,Yes,0, 0,
 Intel Xeon E5-2695 V3  ,14,2.3 GHz,3.3 GHz,120 W,None,Yes,0, 0,
 Intel Xeon E3-1230 V5  ,4,3.4 GHz,3.8 GHz,80 W,None,Yes,5, 1,
 Intel Xeon E5-2683 V3  ,14,2 GHz,3 GHz,120 W,None,Yes,0, 0,
 Intel Xeon E5-2650L V4  ,14,1.7 GHz,2.5 GHz,65 W,None,Yes,0, 0,
 AMD Threadripper 2970WX  ,24,3 GHz,4.2 GHz,250 W,None,Yes,0, 0,
 Intel Xeon E3-1275  ,4,3.4 GHz,,95 W,Intel HD Graphics,Yes,0, 0,$376.99
 Intel Xeon E3-1275 V6  ,4,3.8 GHz,4.2 GHz,73 W,Intel HD Graphics P630,Yes,0, 0,$415.40
 Intel Core i5-750  ,4,2.66 GHz,,95 W,None,No,0, 0,$403.00
 Intel Core i5-2380P  ,4,3.1 GHz,,95 W,None,No,0, 0,$70.00
 Intel Xeon E-2174G  ,4,3.8 GHz,4.7 GHz,71 W,Intel HD Graphics P630,Yes,0, 0,$655.27
 Intel Pentium E5300  ,2,2.6 GHz,,65 W,None,No,4, 2,$59.49
 AMD Sempron 140  ,1,2.7 GHz,,45 W,None,No,0, 0,
 AMD A8-3850  ,4,2.9 GHz,,100 W,Radeon HD 6550D,No,4, 5,
 Intel Xeon E3-1225 V3  ,4,3.2 GHz,3.6 GHz,84 W,Intel HD Graphics P4600,No,0, 0,
 Intel Xeon E5-2670  ,8,2.6 GHz,3.3 GHz,115 W,None,Yes,0, 0,
 AMD FX-8370  ,8,4 GHz,4.3 GHz,125 W,None,No,0, 0,
 AMD A4-7300  ,2,3.8 GHz,4 GHz,65 W,Radeon HD 8470D,No,0, 0,
 Intel Pentium Gold G5600  ,2,3.9 GHz,,54 W,Intel UHD Graphics 630,Yes,5, 1,
 Intel Xeon E3-1245  ,4,3.3 GHz,,95 W,Intel HD Graphics,Yes,5, 2,$245.00
 Intel Core 2 Duo E7200  ,2,2.53 GHz,,65 W,None,No,0, 0,$80.98
 Intel Core i3-7350K  ,2,4.2 GHz,,60 W,Intel HD Graphics 630,Yes,0, 0,
 Intel Core 2 Quad Q9300  ,4,2.5 GHz,,95 W,None,No,0, 0,$172.00
 AMD A4-3300  ,2,2.5 GHz,,65 W,Radeon HD 6410D,No,0, 0,$89.95
 Intel Pentium G2140  ,2,3.3 GHz,,55 W,Intel HD Graphics,No,0, 0,$45.00
 Intel Core i5-8600  ,6,3.1 GHz,4.3 GHz,65 W,Intel UHD Graphics 630,No,0, 0,$269.95
 Intel Core i5-9400T  ,6,1.8 GHz,3.4 GHz,35 W,Intel UHD Graphics 630,No,0, 0,
 AMD Athlon II X2 240e  ,2,2.8 GHz,,45 W,None,No,0, 0,
 Intel Celeron E1200  ,2,1.6 GHz,,65 W,None,No,0, 0,
 Intel Core 2 Quad Q6700  ,4,2.66 GHz,,100 W,None,No,5, 2,
 AMD Phenom II X4 840  ,4,3.2 GHz,,95 W,None,No,0, 0,
 Intel Pentium G850  ,2,2.9 GHz,,65 W,Intel HD Graphics,No,5, 1,
 AMD FX-8120  ,8,3.1 GHz,,125 W,None,No,4, 1,
 AMD A4-4000  ,2,3 GHz,,65 W,Radeon HD 7480D,No,4, 3,
 AMD A10-5800K  ,4,3.8 GHz,,100 W,Radeon HD 7660D,No,0, 0,$78.02
 AMD Opteron 6328  ,8,3.2 GHz,3.8 GHz,115 W,None,No,0, 0,$499.99
 AMD Athlon X4 870K  ,4,3.9 GHz,4.1 GHz,95 W,None,No,4, 1,
 Intel Core i9-7920X  ,12,2.9 GHz,4.4 GHz,140 W,None,Yes,0, 0,
 AMD Threadripper 2950X  ,16,3.5 GHz,4.4 GHz,180 W,None,Yes,0, 0,
 AMD A6-7480  ,2,3.5 GHz,3.8 GHz,65 W,Radeon R5 (on die),No,0, 0,
 Intel Xeon E-2146G  ,6,3.5 GHz,4.5 GHz,80 W,Intel HD Graphics P630,Yes,0, 0,$777.00
 Intel Core i9-9920X  ,12,3.5 GHz,4.4 GHz,165 W,None,Yes,0, 0,
 Intel Xeon E-2236  ,6,3.4 GHz,4.8 GHz,80 W,None,Yes,0, 0,$408.87
 Intel Xeon E-2124  ,4,3.3 GHz,4.3 GHz,71 W,None,No,0, 0,$110.00
 Intel Core 2 Quad Q8300  ,4,2.5 GHz,,95 W,None,No,0, 0,
 AMD Phenom II X6 1075T  ,6,3 GHz,,95 W,None,No,5, 2,
 AMD Phenom II X4 965  ,4,3.4 GHz,,125 W,None,No,4, 1,
 AMD Phenom II X4 980 Black  ,4,3.7 GHz,,125 W,None,No,5, 1,
 Intel Pentium G620  ,2,2.6 GHz,,65 W,Intel HD Graphics,No,5, 4,
 AMD A6-3500  ,3,2.1 GHz,,65 W,Radeon HD 6530D,No,3, 1,
 Intel Xeon E3-1275 V3  ,4,3.5 GHz,3.9 GHz,84 W,Intel HD Graphics P4600,Yes,0, 0,
 Intel Xeon E5-4650  ,8,2.7 GHz,3.3 GHz,130 W,None,Yes,0, 0,
 Intel Core i3-6300T  ,2,3.3 GHz,,35 W,Intel HD Graphics 530,Yes,0, 0,
 AMD Threadripper 2920X  ,12,3.5 GHz,4.3 GHz,180 W,None,Yes,0, 0,
 Intel Core i7-9800X  ,8,3.8 GHz,4.5 GHz,165 W,None,Yes,0, 0,
 Intel Core i5-9400  ,6,2.9 GHz,4.1 GHz,65 W,Intel UHD Graphics 630,No,0, 0,
 Intel Xeon E-2246G  ,6,3.6 GHz,4.8 GHz,80 W,Intel HD Graphics P630,Yes,0, 0,
 Intel Core i7-5775C  ,4,3.3 GHz,3.7 GHz,65 W,Iris Pro Graphics 6200,Yes,0, 0,$932.00
 Intel Xeon E3-1280 V6  ,4,3.9 GHz,4.2 GHz,72 W,None,Yes,0, 0,$562.00
 Intel Core i5-661  ,2,3.33 GHz,,87 W,Intel HD Graphics,Yes,0, 0,$80.00
 AMD A4-6300B  ,2,3.7 GHz,3.9 GHz,65 W,Radeon HD 8370D,No,0, 0,$54.44
 Intel Xeon E3-1270 V6  ,4,3.8 GHz,4.2 GHz,72 W,None,Yes,0, 0,$725.37
 Intel Core 2 Duo E8400  ,2,3 GHz,,65 W,None,No,4, 1,$178.24
 Intel Xeon E5-1650 V3  ,6,3.5 GHz,3.8 GHz,140 W,None,Yes,0, 0,
 Intel Xeon E5-2623 V3  ,4,3 GHz,3.5 GHz,105 W,None,Yes,5, 1,$229.95
 AMD Athlon II X2 220  ,2,2.8 GHz,,65 W,None,No,3, 1,
 Intel Core 2 Duo E4600  ,2,2.4 GHz,,65 W,None,No,4, 1,
 Intel Core 2 Duo E7400  ,2,2.8 GHz,,65 W,None,No,0, 0,
 Intel Core i5-670  ,2,3.46 GHz,,73 W,Intel HD Graphics,Yes,0, 0,$127.01
 Intel Core i7-975 Extreme Edition  ,4,3.33 GHz,,130 W,None,Yes,5, 2,
 AMD Phenom II X4 960T Black  ,4,3 GHz,,95 W,None,No,5, 3,
 Intel Celeron G1620  ,2,2.7 GHz,,55 W,Intel HD Graphics,No,5, 1,
 Intel Xeon E3-1245 V3  ,4,3.4 GHz,3.8 GHz,84 W,Intel HD Graphics P4600,Yes,5, 1,
 Intel Xeon E5-2650L V3  ,12,1.8 GHz,2.5 GHz,65 W,None,Yes,0, 0,
 Intel Pentium G4400  ,2,3.3 GHz,,54 W,Intel HD Graphics 510,No,0, 0,
 Intel Xeon E3-1275 V5  ,4,3.6 GHz,4 GHz,80 W,Intel HD Graphics P530,Yes,0, 0,
 Intel Xeon E3-1260L V5  ,4,2.9 GHz,3.9 GHz,45 W,None,Yes,0, 0,
 Intel Pentium G4560  ,2,3.5 GHz,,54 W,Intel HD Graphics 610,Yes,0, 0,
 Intel Core i7-7700T  ,4,2.9 GHz,3.8 GHz,35 W,Intel HD Graphics 630,Yes,0, 0,
 Intel Xeon E5-2420V2  ,6,2.2 GHz,2.7 GHz,80 W,None,Yes,0, 0,
 Intel Core i9-9920X  ,12,3.5 GHz,4.4 GHz,165 W,None,Yes,0, 0,
 Intel Core i5-9600  ,6,3.1 GHz,4.6 GHz,65 W,Intel UHD Graphics 630,No,0, 0,
 Intel Xeon E5-2630 V3  ,8,2.4 GHz,3.2 GHz,85 W,None,Yes,0, 0,$459.00
 Intel Xeon E-2104G  ,4,3.2 GHz,,65 W,Intel HD Graphics P630,No,0, 0,$550.00
 Intel Core 2 Duo E6850  ,2,3 GHz,,65 W,None,No,0, 0,$89.95
 AMD Phenom II X6 1035T  ,6,2.6 GHz,,95 W,None,No,5, 2,
 AMD Opteron 6344  ,12,2.6 GHz,3.2 GHz,115 W,None,No,0, 0,$349.99
 Intel Core i5-7600T  ,4,2.8 GHz,3.7 GHz,35 W,Intel HD Graphics 630,No,0, 0,$229.95
 Intel Xeon E3-1240 V6  ,4,3.7 GHz,4.1 GHz,72 W,None,Yes,0, 0,$440.60
 AMD Athlon II X2 250  ,2,3 GHz,,65 W,None,No,0, 0,
 Intel Core 2 Duo E4400  ,2,2 GHz,,65 W,None,No,0, 0,$108.00
 Intel Core 2 Duo E4500  ,2,2.2 GHz,,65 W,None,No,0, 0,
 AMD Athlon II X3 450  ,3,3.2 GHz,,95 W,None,No,5, 3,
 Intel Core i3-2100T  ,2,2.5 GHz,,35 W,Intel HD Graphics 2000,Yes,4, 1,
 Intel Pentium E5500  ,2,2.8 GHz,,65 W,None,No,0, 0,
 AMD Athlon II X2 270  ,2,3.4 GHz,,65 W,None,No,4, 5,
 Intel Xeon E3-1280  ,4,3.5 GHz,,95 W,None,Yes,0, 0,
 Intel Xeon E5-2620 V2  ,6,2.1 GHz,2.6 GHz,80 W,None,Yes,0, 0,
 AMD FX-4300  ,4,3.8 GHz,,95 W,None,No,5, 1,
 Intel Xeon E5-2690  ,8,2.9 GHz,3.8 GHz,135 W,None,Yes,5, 2,
 AMD FX-8370E  ,8,3.3 GHz,4.3 GHz,95 W,None,No,0, 0,
 Intel Core i7-4770T  ,4,2.5 GHz,,45 W,Intel HD Graphics 4600,Yes,0, 0,
 Intel Core i5-6400T  ,4,2.2 GHz,2.8 GHz,35 W,Intel HD Graphics 530,No,0, 0,
 AMD Opteron 6378  ,16,2.4 GHz,3.3 GHz,115 W,None,No,0, 0,
 Intel Core i7-6950X  ,10,3 GHz,3.5 GHz,140 W,None,Yes,0, 0,
 AMD Athlon X4 860K  ,4,3.7 GHz,4 GHz,95 W,None,No,5, 7,
 Intel Xeon E3-1270 V6  ,4,3.8 GHz,4.2 GHz,72 W,None,Yes,0, 0,
 Intel Core i5-9500F  ,6,3 GHz,4.4 GHz,65 W,None,No,0, 0,
 Intel Pentium G645  ,2,2.9 GHz,,65 W,Intel HD Graphics 2500,No,0, 0,$83.00
 Intel Xeon E5-2609  ,4,2.4 GHz,,80 W,None,No,0, 0,$95.07
 AMD Athlon II X3 435  ,3,2.9 GHz,,95 W,None,No,0, 0,$159.94
 Intel Celeron E3400  ,2,2.6 GHz,,65 W,None,No,0, 0,
 Intel Core 2 Duo E6550  ,2,2.33 GHz,,65 W,None,No,0, 0,$89.95
