Name,Type,Efficiency,Wattage,Modular,Rating,Rating Count,Price,Efficiency Rating
 Corsair RM750e ,ATX, Rating80+ Gold,750,Full,5, 69,99.99,3
 Corsair RM850e ,ATX, Rating80+ Gold,850,Full,5, 42,119.99,3
 Corsair RM1000e ,ATX, Rating80+ Gold,1000,Full,5, 26,179.99,3
 Corsair RM850x ,ATX, Rating80+ Gold,850,Full,5, 174,134.99,3
 Corsair CX650M ,ATX, Rating80+ Bronze,650,Semi,5, 16,69.98,1
 Corsair RM650 ,ATX, Rating80+ Gold,650,Full,5, 1,89.99,3
 Thermaltake Smart  ,ATX, Rating80+,500,No,4, 64,39.95,0
 Corsair RM850  ,ATX, Rating80+ Gold,850,Full,5, 48,139.99,3
 Corsair SF750  ,SFX, Rating80+ Platinum,750,Full,5, 228,169.99,4
 Cooler Master MWE Gold 850 - V2  ,ATX, Rating80+ Gold,850,Full,5, 10,94.99,3
 MSI MAG A650BN  ,ATX, Rating80+ Bronze,650,No,5, 3,59.99,1
 Gigabyte UD750GM  ,ATX, Rating80+ Gold,750,Full,4, 25,89.99,3
 MSI MAG A550BN  ,ATX, Rating80+ Bronze,550,No,5, 6,49.99,1
 Corsair RM1000x ,ATX, Rating80+ Gold,1000,Full,5, 106,173.48,3
 Asus ROG THOR 1600T Gaming  ,ATX, Rating80+ Titanium,1600,Full,0, 0,631.99,5
 Thermaltake Smart  ,ATX, Rating80+,600,No,5, 35,44.99,0
 MSI MAG A850GL PCIE5  ,ATX, Rating80+ Gold,850,Full,5, 9,111.99,3
 Corsair SF850L  ,SFX, Rating80+ Gold,850,Full,5, 6,128.99,3
 Thermaltake Toughpower GF1 ,ATX, Rating80+ Gold,750,Full,4, 1,104.98,3
 Corsair HX1500i ,ATX, Rating80+ Platinum,1500,Full,5, 3,339.99,4
 Corsair RM750x ,ATX, Rating80+ Gold,750,Full,5, 64,119.99,3
 Apevia Galaxy  ,ATX, Rating80+ Gold,650,Semi,5, 2,54.99,3
 MSI MAG A750GL PCIE5  ,ATX, Rating80+ Gold,750,Full,5, 7,93.99,3
 Silverstone HELA  ,ATX, Rating,2050,Full,0, 0,623.89,0
 Thermaltake Toughpower GX2  ,ATX, Rating80+ Gold,600,No,5, 22,54.99,3
 Apevia Prestige  ,ATX, Rating80+ Gold,600,No,5, 4,51.99,3
 EVGA SuperNOVA 1600 T2  ,ATX, Rating80+ Titanium,1600,Full,0, 0,739.0,5
 SeaSonic FOCUS PLUS 850 Gold  ,ATX, Rating80+ Gold,850,Full,5, 79,124.66,3
 Thermaltake Toughpower GF A3 Snow  ,ATX, Rating80+ Gold,1050,Full,5, 2,174.98,3
 EVGA SuperNOVA 650 GT  ,ATX, Rating80+ Gold,650,Full,5, 12,94.99,3
 Corsair RM750  ,ATX, Rating80+ Gold,750,Full,5, 31,129.99,3
 EVGA 500 BR  ,ATX, Rating80+ Bronze,500,No,5, 72,60.99,1
 be quiet! Pure Power 12 M  ,ATX, Rating80+ Gold,750,Full,5, 5,94.9,3
 be quiet! Pure Power 12 M  ,ATX, Rating80+ Gold,850,Full,5, 6,109.9,3
 Corsair AX1600i  ,ATX, Rating80+ Titanium,1600,Full,5, 14,609.99,5
 Corsair CX750M ,ATX, Rating80+ Bronze,750,Semi,5, 21,89.95,1
 be quiet! Dark Power 13  ,ATX, Rating80+ Titanium,1000,Full,4, 2,245.77,5
 Thermaltake Toughpower GF1 ,ATX, Rating80+ Gold,850,Full,0, 0,94.99,3
 Corsair SF1000L  ,SFX, Rating80+ Gold,1000,Full,5, 11,159.51,3
 be quiet! Pure Power 12 M  ,ATX, Rating80+ Gold,1000,Full,4, 5,129.9,3
 NZXT C850 ,ATX, Rating80+ Gold,850,Full,5, 12,109.99,3
 MSI MAG A650GL  ,ATX, Rating80+ Gold,650,Full,5, 3,79.98,3
 Corsair AX1200  ,ATX, Rating80+ Gold,1200,Full,5, 21,799.0,3
 Asus ROG Strix  ,ATX, Rating80+ Gold,850,Full,4, 11,162.99,3
 MSI A1000G PCIE5  ,ATX, Rating80+ Gold,1000,Full,5, 29,159.99,3
 Corsair CX ,ATX, Rating80+ Bronze,550,No,0, 0,54.99,1
 NZXT C750 ,ATX, Rating80+ Gold,750,Full,5, 3,94.99,3
 MSI MPG A850G PCIE5  ,ATX, Rating80+ Gold,850,Full,5, 20,109.99,3
 Thermaltake Smart  ,ATX, Rating80+,700,No,4, 20,54.99,0
 EVGA SuperNOVA 850 GT  ,ATX, Rating80+ Gold,850,Full,5, 15,129.99,3
 Corsair HX1000i ,ATX, Rating80+ Platinum,1000,Full,4, 4,214.99,4
 Thermaltake Smart BM3  ,ATX, Rating80+ Bronze,650,Semi,5, 1,84.98,1
 Thermaltake Smart BM3  ,ATX, Rating80+ Bronze,750,Semi,5, 1,79.99,1
 Corsair RMe ,ATX, Rating80+ Gold,1200,Full,5, 1,169.99,3
 be quiet! Straight Power 12  ,ATX, Rating80+ Platinum,1000,Full,5, 7,169.9,4
 Lian Li SP850  ,SFX, Rating80+ Gold,850,Full,4, 3,133.4,3
 Thermaltake Toughpower GF A3 Snow  ,ATX, Rating80+ Gold,850,Full,0, 0,134.98,3
 Cooler Master V850 SFX GOLD  ,SFX, Rating80+ Gold,850,Full,5, 11,129.99,3
 Lian Li SP  ,SFX, Rating80+ Gold,750,Full,5, 15,128.01,3
 be quiet! Dark Power Pro 13  ,ATX, Rating80+ Titanium,1600,Full,5, 1,399.9,5
 Gigabyte UD850GM  ,ATX, Rating80+ Gold,850,Full,4, 8,102.99,3
 Gigabyte UD1000GM  ,ATX, Rating80+ Gold,1000,Full,5, 1,119.99,3
 MSI MPG A650GF  ,ATX, Rating80+ Gold,650,Full,5, 27,87.15,3
 EVGA SuperNOVA 1000 GT  ,ATX, Rating80+ Gold,1000,Full,5, 14,169.99,3
 Asus ROG STRIX 1000G  ,ATX, Rating80+ Gold,1000,Full,5, 7,189.25,3
 Cooler Master MWE GOLD 750 V2 FULL MODULAR  ,ATX, Rating80+ Gold,750,Full,5, 12,195.07,3
 EVGA SuperNOVA 750 GT  ,ATX, Rating80+ Gold,750,Full,5, 24,109.99,3
 SeaSonic PRIME TX-1000  ,ATX, Rating80+ Titanium,1000,Full,5, 14,304.99,5
 Asus ROG THOR P2 Gaming  ,ATX, Rating80+ Platinum,1200,Full,3, 1,309.99,4
 be quiet! Straight Power 12  ,ATX, Rating80+ Platinum,1200,Full,5, 5,179.9,4
 Lian Li SP850  ,SFX, Rating80+ Gold,850,Full,5, 6,144.42,3
 Corsair CX ,ATX, Rating80+ Bronze,750,No,4, 1,64.98,1
 Corsair CX ,ATX, Rating80+ Bronze,650,No,0, 0,59.99,1
 Asus TUF Gaming 1000G  ,ATX, Rating80+ Gold,1000,Full,5, 6,159.33,3
 SeaSonic FOCUS GX  ,ATX, Rating80+ Gold,850,Full,5, 21,124.99,3
 SeaSonic FOCUS GX  ,ATX, Rating80+ Gold,750,Full,5, 42,142.44,3
 EVGA SuperNOVA 650 G+  ,ATX, Rating80+ Gold,650,Full,5, 32,103.0,3
 be quiet! System Power 10  ,ATX, Rating80+ Bronze,450,No,4, 1,128.16,1
 NZXT C1000 ,ATX, Rating80+ Gold,1000,Full,5, 2,134.0,3
 EVGA 500 W1  ,ATX, Rating80+,500,No,4, 186,49.99,0
 Apevia CAPTAIN  ,ATX, Rating,550,No,0, 0,31.99,0
 EVGA 600 BR  ,ATX, Rating80+ Bronze,600,No,5, 34,69.99,1
 be quiet! Pure Power 11  ,ATX, Rating80+ Gold,400,No,5, 2,128.41,3
 be quiet! Straight Power 12  ,ATX, Rating80+ Platinum,850,Full,5, 3,149.9,4
 Thermaltake Toughpower GF A3 - TT Premium Edition  ,ATX, Rating80+ Gold,850,Full,0, 0,104.99,3
 Cooler Master V850 SFX GOLD  ,SFX, Rating80+ Gold,850,Full,5, 36,229.0,3
 MSI MEG Ai1300P PCIE5  ,ATX, Rating80+ Platinum,1300,Full,5, 10,309.99,4
 SeaSonic FOCUS Plus 750 Gold  ,ATX, Rating80+ Gold,750,Full,5, 73,111.55,3
 Apevia Prestige  ,ATX, Rating80+ Gold,800,No,5, 4,66.98,3
 Montech TITAN GOLD 850W  ,ATX, Rating80+ Gold,850,Full,5, 1,109.99,3
 Silverstone SFX  ,SFX, Rating80+ Gold,500,Full,4, 50,111.6,3
 NZXT C1200  ,ATX, Rating80+ Gold,1200,Full,5, 1,194.99,3
 Gigabyte P650G ,ATX, Rating80+ Gold,650,No,0, 0,59.99,3
 Thermaltake Toughpower  ,ATX, Rating80+ Gold,750,Semi,5, 34,79.98,3
 Gigabyte UD-GM PG5  ,ATX, Rating80+ Gold,850,Full,5, 1,124.99,3
 be quiet! Dark Power 13  ,ATX, Rating80+ Titanium,850,Full,5, 2,229.9,5
 Corsair RM750 ,ATX, Rating80+ Gold,750,Full,5, 232,220.0,3
 Lian Li SP750  ,SFX, Rating80+ Gold,750,Full,0, 0,119.99,3
 Gigabyte P450B  ,ATX, Rating80+ Bronze,450,No,4, 9,54.99,1
 EVGA 600 GD  ,ATX, Rating80+ Gold,600,No,5, 11,81.58,3
 EVGA 700 GD  ,ATX, Rating80+ Gold,700,No,4, 16,89.99,3
 EVGA 600 W1  ,ATX, Rating80+,600,No,4, 47,64.98,0
 Corsair RM1200x SHIFT  ,ATX, Rating80+ Gold,1200,Full / Side,5, 3,199.99,3
 be quiet! System Power 10  ,ATX, Rating80+ Bronze,650,No,5, 2,135.91,1
 MSI MPG A750GF  ,ATX, Rating80+ Gold,750,Full,5, 22,89.99,3
 Logisys PS480D  ,ATX, Rating,480,No,1, 2,16.98,0
 EVGA 400 N1  ,ATX, Rating,400,No,4, 33,44.99,0
 Apevia Galaxy  ,ATX, Rating80+ Gold,850,Semi,4, 1,69.98,3
 SeaSonic FOCUS Plus 650 Gold  ,ATX, Rating80+ Gold,650,Full,5, 72,186.67,3
 Asus TUF Gaming 850G  ,ATX, Rating80+ Gold,850,Full,5, 2,235.63,3
 Asus ROG THOR P2 Gaming  ,ATX, Rating80+ Platinum,1000,Full,4, 4,289.91,4
 Cooler Master V750 SFX GOLD  ,SFX, Rating80+ Gold,750,Full,5, 17,129.99,3
 Apevia Premier  ,ATX, Rating80+ Gold,650,Semi,5, 2,59.99,3
 Corsair RM850x SHIFT  ,ATX, Rating80+ Gold,850,Full / Side,5, 4,159.99,3
 Thermaltake Toughpower GF3 TT Premium  ,ATX, Rating80+ Gold,1000,Full,5, 5,155.99,3
 PowerSpec PS 750BSM  ,ATX, Rating80+ Bronze,750,Semi,5, 4,68.98,1
 CoolMax I-500  ,ATX, Rating,500,No,2, 1,26.68,0
 Sparkle FSP350-60GNV  ,SFX, Rating,350,No,0, 0,69.99,0
 be quiet! SFX L Power  ,SFX, Rating80+ Gold,600,Full,0, 0,130.53,3
 ADATA XPG CORE Reactor 850  ,ATX, Rating80+ Gold,850,Full,5, 7,107.99,3
 PowerSpec PS 650BF  ,ATX, Rating80+ Bronze,650,No,5, 2,54.99,1
 Corsair RM1000x  ,ATX, Rating80+ Gold,1000,Full,5, 30,245.0,3
 Corsair RM1000x SHIFT  ,ATX, Rating80+ Gold,1000,Full / Side,5, 3,187.99,3
 Asus ROG THOR P2 Gaming  ,ATX, Rating80+ Platinum,850,Full,5, 1,169.99,4
 Deepcool PX850G  ,ATX, Rating80+ Gold,850,Full,0, 0,104.99,3
 Thermaltake Toughpower GF3 TT Premium  ,ATX, Rating80+ Gold,1650,Full,5, 2,244.99,3
 SeaSonic FOCUS Plus Platinum  ,ATX, Rating80+ Platinum,750,Full,5, 33,159.99,4
 SeaSonic FOCUS GX-1000 ATX 3.0  ,ATX, Rating80+ Gold,1000,Full,5, 1,199.99,3
 be quiet! Pure Power 12 M  ,ATX, Rating80+ Gold,650,Full,5, 1,99.9,3
 Asus Prime AP-750G  ,ATX, Rating80+ Gold,750,Full,0, 0,98.99,3
 SeaSonic VERTEX GX-1200  ,ATX, Rating80+ Gold,1200,Full,5, 11,221.07,3
 Gigabyte P550B  ,ATX, Rating80+ Bronze,550,No,4, 1,71.89,1
 be quiet! Dark Power Pro 13  ,ATX, Rating80+ Titanium,1300,Full,5, 1,369.9,5
 Cooler Master V SFX Platinum  ,SFX, Rating80+ Platinum,1100,Full,4, 1,248.99,4
 Montech TITAN GOLD 1000W  ,ATX, Rating80+ Gold,1000,Full,0, 0,137.99,3
 Deepcool PX1000G  ,ATX, Rating80+ Gold,1000,Full,5, 2,152.59,3
 EVGA SuperNOVA 850 GM  ,SFX, Rating80+ Gold,850,Full,5, 7,164.07,3
 EVGA SuperNOVA 1000 P6  ,ATX, Rating80+ Platinum,1000,Full,5, 5,226.52,4
 SeaSonic FOCUS GX-850 ATX 3.0  ,ATX, Rating80+ Gold,850,Full,5, 1,139.99,3
 Vetroo GV1000  ,ATX, Rating80+ Gold,1000,Full,5, 1,129.99,3
 EVGA 700 BR  ,ATX, Rating80+ Bronze,700,No,5, 22,84.98,1
 Thermaltake TR2  ,ATX, Rating,500,No,4, 20,68.73,0
 EVGA 650 GQ  ,ATX, Rating80+ Gold,650,Semi,5, 106,119.99,3
 Thermaltake Smart BX1  ,ATX, Rating80+ Bronze,750,No,5, 1,74.98,1
 EVGA GE  ,ATX, Rating80+ Gold,800,No,5, 1,145.78,3
 Thermaltake Toughpower GF A3 - TT Premium Edition  ,ATX, Rating80+ Gold,650,Full,0, 0,97.41,3
 Thermaltake Toughpower GF A3 - TT Premium Edition  ,ATX, Rating80+ Gold,1050,Full,0, 0,134.99,3
 be quiet! Pure Power 12 M  ,ATX, Rating80+ Gold,550,Full,5, 1,169.9,3
 SeaSonic FOCUS GX  ,ATX, Rating80+ Gold,1000,Full,5, 8,169.99,3
 Thermaltake Toughpower GF1 PE  ,ATX, Rating80+ Gold,850,Full,5, 42,102.11,3
 Thermaltake Smart BM3  ,ATX, Rating80+ Bronze,850,Semi,4, 1,79.98,1
 Corsair SF600  ,SFX, Rating80+ Platinum,600,Full,5, 85,225.0,4
 be quiet! System Power 10  ,ATX, Rating80+ Bronze,750,No,5, 2,151.2,1
 Deepcool PM750D  ,ATX, Rating80+ Gold,750,No,0, 0,82.99,3
 EVGA 650 B5  ,ATX, Rating80+ Bronze,650,Full,5, 14,84.99,1
 Super Flower Leadex III Gold  ,ATX, Rating80+ Gold,750,Full,5, 21,105.62,3
 Thermaltake Toughpower GF A3 - TT Premium Edition  ,ATX, Rating80+ Gold,750,Full,0, 0,89.99,3
 Deepcool PQ1000M  ,ATX, Rating80+ Gold,1000,Full,5, 2,135.99,3
 MSI MEG Ai1000P PCIE5  ,ATX, Rating80+ Platinum,1000,Full,5, 1,251.0,4
 be quiet! System Power 10  ,ATX, Rating80+ Gold,850,No,5, 2,187.38,3
 Corsair RM750x ,ATX, Rating80+ Gold,750,Full,5, 147,169.96,3
 be quiet! Straight Power 12  ,ATX, Rating80+ Platinum,750,Full,0, 0,139.9,4
 Corsair RM650x ,ATX, Rating80+ Gold,650,Full,5, 14,163.59,3
 Silverstone SX500-G  ,SFX, Rating80+ Gold,500,Full,5, 2,116.47,3
 MSI MPG A850GF  ,ATX, Rating80+ Gold,850,Full,5, 19,165.0,3
 SeaSonic FOCUS Plus Platinum  ,ATX, Rating80+ Platinum,850,Full,5, 22,174.99,4
 SeaSonic G12 GC  ,ATX, Rating80+ Gold,650,No,0, 0,110.5,3
 Silverstone SFX  ,SFX, Rating80+ Titanium,800,Full,5, 8,217.98,5
 be quiet! System Power 10  ,ATX, Rating80+ Bronze,550,No,0, 0,149.9,1
 Corsair RM850x ,ATX, Rating80+ Gold,850,Full,5, 163,144.99,3
 EVGA 750 GQ  ,ATX, Rating80+ Gold,750,Semi,5, 60,109.26,3
 GameMax GX Pro Rampage  ,ATX, Rating80+ Gold,850,Full,0, 0,109.99,3
 Thermaltake Toughpower GF3 TT Premium  ,ATX, Rating80+ Gold,750,Full,5, 1,104.49,3
 Corsair HX1000 Platinum  ,ATX, Rating80+ Platinum,1000,Full,5, 29,390.0,4
 EVGA SuperNOVA 1000G XC  ,ATX, Rating80+ Gold,1000,Full,0, 0,124.99,3
 EVGA SuperNOVA 1300 GT  ,ATX, Rating80+ Gold,1300,Full,5, 2,219.99,3
 Corsair AX1200i  ,ATX, Rating80+ Platinum,1200,Full,5, 56,657.73,4
 Asus ROG-STRIX-850G  ,ATX, Rating80+ Gold,850,Full,5, 7,168.16,3
 Super Flower Leadex Platinum SE  ,ATX, Rating80+ Platinum,1200,Full,5, 3,177.98,4
 Corsair RM650x ,ATX, Rating80+ Gold,650,Full,5, 96,179.99,3
 SeaSonic S12III  ,ATX, Rating80+ Bronze,500,No,5, 18,68.9,1
 MSI MPG A1000G  ,ATX, Rating80+ Gold,1000,Full,5, 2,179.99,3
 GameMax GX Pro Rampage  ,ATX, Rating80+ Platinum,1050,Full,0, 0,159.99,4
 Thermaltake Toughpower GF3 TT Premium  ,ATX, Rating80+ Gold,850,Full,5, 1,119.99,3
 Asus ROG Strix  ,ATX, Rating80+ Gold,750,Full,5, 12,119.99,3
 EVGA SuperNOVA 850G XC  ,ATX, Rating80+ Gold,850,Full,0, 0,109.99,3
 Cooler Master V SFX Gold ATX 3.0  ,SFX, Rating80+ Gold,850,Full,0, 0,147.99,3
 Thermaltake Toughpower GF A3 - TT Premium Edition  ,ATX, Rating80+ Gold,1200,Full,5, 1,154.99,3
 Asus ROG Strix Aura Edition  ,ATX, Rating80+ Gold,1000,Full,5, 3,208.67,3
 EVGA 850 BQ  ,ATX, Rating80+ Bronze,850,Semi,5, 22,99.99,1
 Cooler Master MWE Gold V2 ATX3.0  ,ATX, Rating80+ Gold,1250,Full,0, 0,129.99,3
 Silverstone FX600 Platinum  ,Flex ATX, Rating,600,No,0, 0,179.99,0
 EVGA SuperNOVA 650 GM  ,SFX, Rating80+ Gold,650,Full,5, 36,128.63,3
 EVGA SuperNOVA 850 G5  ,ATX, Rating80+ Gold,850,Full,5, 16,134.99,3
 Asus ROG LOKI  ,SFX, Rating80+ Platinum,850,Full,5, 1,194.04,4
 be quiet! SFX Power 3 450  ,SFX, Rating80+ Bronze,450,No,0, 0,103.1,1
 ADATA XPG CORE Reactor 650  ,ATX, Rating80+ Gold,650,Full,5, 2,87.99,3
 ADATA XPG CORE Reactor 750  ,ATX, Rating80+ Gold,750,Full,5, 10,97.99,3
 be quiet! SFX L Power  ,SFX, Rating80+ Gold,500,Full,4, 3,180.53,3
 Thermaltake Smart BX1 650  ,ATX, Rating80+ Bronze,650,No,4, 5,59.99,1
 SeaSonic FOCUS Plus Gold  ,ATX, Rating80+ Gold,1000,Full,5, 11,169.99,3
 Deepcool PM850D  ,ATX, Rating80+ Gold,850,No,4, 1,87.98,3
 Corsair HX1500i ,ATX, Rating80+ Platinum,1500,Full,5, 4,399.99,4
 Super Flower Leadex Platinum SE  ,ATX, Rating80+ Platinum,1000,Full,0, 0,210.62,4
 be quiet! Dark Power 13  ,ATX, Rating80+ Titanium,750,Full,0, 0,189.9,5
 Corsair SF450  ,SFX, Rating80+ Platinum,450,Full,5, 17,229.0,4
 SeaSonic FOCUS PX  ,ATX, Rating80+ Platinum,850,Full,5, 13,174.99,4
 EVGA SuperNOVA 1000 G+  ,ATX, Rating80+ Gold,1000,Full,5, 16,342.0,3
 Corsair RM850x  ,ATX, Rating80+ Gold,850,Full,5, 34,180.94,3
 EVGA SuperNOVA 1600 G2  ,ATX, Rating80+ Gold,1600,Full,4, 5,497.0,3
 SeaSonic VERTEX PX-1200  ,ATX, Rating80+ Platinum,1200,Full,5, 1,329.99,4
 BitFenix BFG GOLD ATX3.0  ,ATX, Rating80+ Gold,750,Full,0, 0,79.9,3
 Silverstone SX1000-LPT  ,SFX, Rating80+ Platinum,1000,Full,5, 6,254.04,4
 Corsair RM850  ,ATX, Rating80+ Gold,850,Full,5, 20,197.94,3
 SeaSonic PRIME Ultra Titanium  ,ATX, Rating80+ Titanium,1000,Full,5, 7,304.99,5
 be quiet! Straight Power 12  ,ATX, Rating80+ Platinum,1500,Full,0, 0,249.9,4
 Corsair SF600  ,SFX, Rating80+ Gold,600,Full,5, 103,229.0,3
 Asus ROG LOKI  ,SFX, Rating80+ Platinum,850,Full,5, 1,219.99,4
 Enermax REVOLUTION D.F. 2  ,ATX, Rating80+ Gold,1050,Full,5, 2,113.99,3
 FSP Group Hydro GE  ,ATX, Rating80+ Gold,550,Full,0, 0,74.98,3
 EVGA 650 BQ  ,ATX, Rating80+ Bronze,650,Semi,5, 53,84.99,1
 CoolMax ZX-500  ,ATX, Rating80+,500,No,5, 1,39.99,0
 Gigabyte UD1000GM PG5 ,ATX, Rating80+ Gold,1000,Full,0, 0,119.99,3
 EVGA 750 B5  ,ATX, Rating80+ Bronze,750,Full,5, 11,99.99,1
 Corsair HX1000i  ,ATX, Rating80+ Platinum,1000,Full,5, 41,399.0,4
 Corsair RM750x SHIFT  ,ATX, Rating80+ Gold,750,Full / Side,5, 2,129.99,3
 GameMax GX Pro Rampage  ,ATX, Rating80+ Gold,850,Full,0, 0,85.99,3
 Asus ROG Strix Aura Edition  ,ATX, Rating80+ Gold,1200,Full,0, 0,239.99,3
 Aerocool LUX RGB 750M ,ATX, Rating80+ Bronze,750,Semi,0, 0,93.54,1
 SeaSonic FOCUS GX  ,ATX, Rating80+ Gold,650,Full,5, 25,135.52,3
 SeaSonic S12III  ,ATX, Rating80+ Bronze,650,No,5, 23,76.86,1
